FSA,BEV,PHEV,TotalEV
N4X,37,31,68
N4Z,13,12,25
N5A,136,80,216
N5C,60,23,83
N5H,32,19,51
N5L,18,9,27
N5N,2,,2
N5P,52,37,89
N5R,73,52,125
N5V,51,42,93
N5W,51,27,78
N5X,182,96,278
N5Y,46,36,82
N5Z,33,34,67
N6A,63,39,102
N6B,22,26,48
N6C,101,72,173
N6E,26,50,76
N6G,246,150,396
N6H,152,87,239
N6J,57,41,98
N6K,203,123,326
N6L,36,15,51
N6M,33,17,50
N6N,9,1,10
N6P,75,54,129
N7A,52,31,83
N7G,58,29,87
N7L,49,32,81
N7M,68,39,107
N7S,58,40,98
N7T,37,23,60
N7V,29,13,42
N7W,11,9,20
N7X,12,6,18
N8A,15,11,26
N8H,43,44,87
N8M,30,33,63
N8N,107,72,179
N8P,55,35,90
N8R,24,33,57
N8S,40,35,75
N8T,20,17,37
N8W,50,38,88
N8X,39,20,59
N8Y,33,24,57
N9A,32,61,93
N9B,33,18,51
N9C,8,13,21
N9E,48,45,93
N9G,72,48,120
N9H,80,52,132
N9J,102,57,159
N9K,18,8,26
N9T,1,,1
N9V,75,46,121
N9Y,71,37,108
P0A,45,22,67
P0B,56,20,76
P0C,28,10,38
P0E,13,9,22
P0G,7,10,17
P0H,56,58,114
P0J,31,22,53
P0K,5,4,9
P0L,14,21,35
P0M,81,73,154
P0N,2,5,7
P0P,20,26,46
P0R,9,7,16
P0S,13,4,17
P0T,28,34,62
P0V,6,7,13
P0W,3,,3
P0X,11,8,19
P1A,18,16,34
P1B,54,56,110
P1C,20,9,29
P1H,66,34,100
P1L,70,41,111
P1P,33,19,52
P2A,48,15,63
P2B,13,12,25
P2N,2,2,4
P3A,41,40,81
P3B,34,28,62
P3C,11,16,27
P3E,126,77,203
P3G,35,23,58
P3L,9,11,20
P3N,13,16,29
P3P,46,90,136
P3S,1,,1
P3Y,16,15,31
P4N,15,17,32
P4P,2,6,8
P4R,8,8,16
P5A,4,5,9
P5E,2,3,5
P5N,11,10,21
P6A,45,35,80
P6B,39,19,58
P6C,10,10,20
P7A,35,40,75
P7B,36,42,78
P7C,23,21,44
P7E,11,21,32
P7G,30,31,61
P7J,10,12,22
P7K,7,10,17
P7L,3,2,5
P8N,7,11,18
P8T,4,5,9
P9A,4,9,13
P9N,19,16,35
L5Z,1,,1
L3H,1,,1
L0X,1,,1
L5Y,1,,1
M9Y,1,,1
