FSA,BEV,PHEV,Total EV
K0A,1249,523,1772
K0B,124,77,201
K0C,279,174,453
K0E,215,111,326
K0G,328,144,472
K0H,308,203,511
K0J,123,102,225
K0K,668,370,1038
K0L,377,221,598
K0M,282,95,377
K0N,1,,1
K1A,74,60,134
K1B,156,74,230
K1C,289,220,509
K1E,95,62,157
K1G,288,192,480
K1H,169,109,278
K1J,261,134,395
K1K,273,178,451
K1L,91,71,162
K1M,118,69,187
K1N,136,96,232
K1P,49,43,92
K1R,126,73,199
K1S,432,293,725
K1T,372,174,546
K1V,444,279,723
K1W,193,105,298
K1X,96,28,124
K1Y,312,155,467
K1Z,227,114,341
K2A,278,149,427
K2B,173,129,302
K2C,223,129,352
K2E,167,95,262
K2G,417,228,645
K2H,250,141,391
K2J,902,427,1329
K2K,317,163,480
K2L,118,82,200
K2M,333,173,506
K2P,120,76,196
K2R,41,14,55
K2S,578,258,836
K2T,205,84,289
K2V,202,90,292
K2W,160,50,210
K3M,,1,1
K4A,641,296,937
K4B,71,34,105
K4C,97,27,124
K4K,212,99,311
K4M,467,152,619
K4N,2,,2
K4P,206,81,287
K4R,91,42,133
K5M,1,,1
K5W,2,,2
K6A,78,43,121
K6H,125,82,207
K6J,49,41,90
K6K,18,8,26
K6T,3,2,5
K6V,111,83,194
K7A,75,47,122
K7C,194,77,271
K7G,71,29,100
K7H,114,73,187
K7K,190,97,287
K7L,235,133,368
K7M,296,180,476
K7N,43,26,69
K7P,202,97,299
K7R,68,35,103
K7S,97,41,138
K7V,47,28,75
K8A,72,60,132
K8B,,2,2
K8H,86,56,142
K8J,1,,1
K8K,,1,1
K8N,145,101,246
K8P,64,45,109
K8R,11,7,18
K8V,121,75,196
K9A,224,107,331
K9B,1,,1
K9H,144,81,225
K9J,221,136,357
K9K,110,52,162
K9L,51,25,76
K9V,112,56,168
L0A,156,53,209
L0B,158,49,207
L0C,99,32,131
L0E,156,61,217
L0G,636,175,811
L0H,16,8,24
L0J,132,27,159
L0K,320,118,438
L0L,503,172,675
L0M,261,92,353
L0N,28,10,38
L0P,199,42,241
L0R,855,353,1208
L0S,697,296,993
L0X,1,,1
L1A,117,48,165
L1B,118,36,154
L1C,476,149,625
L1E,233,92,325
L1G,230,105,335
L1H,204,85,289
L1J,373,105,478
L1K,468,126,594
L1L,286,69,355
L1M,314,98,412
L1N,457,242,699
L1P,463,128,591
L1R,508,151,659
L1S,440,158,598
L1T,626,157,783
L1V,598,171,769
L1W,220,71,291
L1X,481,107,588
L1Y,50,13,63
L1Z,519,171,690
L2A,105,46,151
L2E,81,45,126
L2G,182,79,261
L2H,258,97,355
L2J,90,45,135
L2M,116,78,194
L2N,216,94,310
L2P,94,36,130
L2R,195,165,360
L2S,138,59,197
L2T,88,43,131
L2V,183,66,249
L2W,16,8,24
L2Y,,1,1
L3A,1,,1
L3B,143,61,204
L3C,153,83,236
L3E,1,,1
L3H,1,,1
L3J,136,59,195
L3K,80,51,131
L3L,33,4,37
L3M,432,168,600
L3N,1,,1
L3P,681,186,867
L3R,1411,356,1767
L3S,629,144,773
L3T,879,255,1134
L3V,261,151,412
L3W,26,11,37
L3X,925,187,1112
L3Y,558,240,798
L3Z,623,141,764
L4A,1184,316,1500
L4B,1134,304,1438
L4C,1392,348,1740
L4E,1487,306,1793
L4G,1458,351,1809
L4H,1559,300,1859
L4J,1270,319,1589
L4K,670,153,823
L4L,721,152,873
L4M,414,138,552
L4N,939,295,1234
L4P,345,94,439
L4R,93,43,136
L4S,1026,219,1245
L4T,189,53,242
L4V,55,18,73
L4W,622,240,862
L4X,98,34,132
L4Y,274,72,346
L4Z,349,162,511
L5A,219,71,290
L5B,553,157,710
L5C,347,106,453
L5E,155,52,207
L5G,398,134,532
L5H,477,136,613
L5J,329,121,450
L5K,193,52,245
L5L,527,183,710
L5M,1636,421,2057
L5N,946,340,1286
L5P,3,14,17
L5R,507,139,646
L5S,70,18,88
L5T,175,32,207
L5V,620,155,775
L5W,410,97,507
L5X,1,,1
L5Y,1,,1
L6A,1600,303,1903
L6B,860,185,1045
L6C,1783,329,2112
L6E,805,160,965
L6G,196,100,296
L6H,1917,531,2448
L6J,1044,365,1409
L6K,319,103,422
L6L,841,243,1084
L6M,1848,461,2309
L6N,1,1,2
L6P,1547,244,1791
L6R,896,222,1118
L6S,380,166,546
L6T,294,148,442
L6V,244,94,338
L6W,208,58,266
L6X,946,207,1153
L6Y,1225,305,1530
L6Z,274,105,379
L7A,1218,339,1557
L7B,590,112,702
L7C,921,205,1126
L7E,501,134,635
L7G,649,233,882
L7H,3,,3
L7J,153,50,203
L7K,188,34,222
L7L,766,317,1083
L7M,855,287,1142
L7N,232,119,351
L7P,410,164,574
L7R,268,114,382
L7S,135,61,196
L7T,240,124,364
L7X,,1,1
L7Z,,4,4
L8A,1,1,2
L8B,449,140,589
L8E,478,174,652
L8G,160,65,225
L8H,114,60,174
L8J,326,104,430
L8K,123,97,220
L8L,185,69,254
L8M,62,51,113
L8N,85,45,130
L8P,167,121,288
L8R,46,25,71
L8S,97,68,165
L8T,89,54,143
L8V,69,47,116
L8W,157,80,237
L9A,133,73,206
L9B,212,109,321
L9C,296,153,449
L9E,581,82,663
L9G,497,195,692
L9H,473,260,733
L9J,138,26,164
L9K,310,108,418
L9L,156,46,202
L9M,85,46,131
L9N,628,133,761
L9P,247,96,343
L9R,267,79,346
L9S,459,121,580
L9T,1794,481,2275
L9V,187,66,253
L9W,503,181,684
L9X,260,67,327
L9Y,341,151,492
L9Z,180,76,256
M0N,1,,1
M1B,367,178,545
M1C,437,150,587
M1E,278,107,385
M1G,129,53,182
M1H,154,51,205
M1J,112,49,161
M1K,142,61,203
M1L,168,65,233
M1M,173,82,255
M1N,200,96,296
M1P,252,85,337
M1R,181,63,244
M1S,310,98,408
M1T,198,67,265
M1V,349,76,425
M1W,284,96,380
M1X,153,55,208
M2B,1,,1
M2E,2,,2
M2H,227,85,312
M2J,614,176,790
M2K,383,109,492
M2L,317,78,395
M2M,391,121,512
M2N,991,331,1322
M2P,248,42,290
M2R,234,110,344
M3A,588,87,675
M3B,389,112,501
M3C,286,86,372
M3H,371,120,491
M3J,194,55,249
M3K,81,19,100
M3L,64,25,89
M3M,65,22,87
M3N,88,28,116
M3R,,1,1
M3V,1,,1
M3Y,1,,1
M4A,72,35,107
M4B,137,60,197
M4C,236,120,356
M4E,266,144,410
M4G,407,156,563
M4H,33,22,55
M4J,249,125,374
M4K,255,125,380
M4L,305,140,445
M4M,317,113,430
M4N,408,147,555
M4P,217,74,291
M4R,205,90,295
M4S,329,111,440
M4T,189,75,264
M4V,318,104,422
M4W,322,121,443
M4X,55,32,87
M4Y,189,49,238
M5A,386,126,512
M5B,80,27,107
M5C,237,39,276
M5E,126,28,154
M5G,128,54,182
M5H,265,62,327
M5J,139,50,189
M5K,5,2,7
M5L,3,1,4
M5M,583,185,768
M5N,266,81,347
M5P,334,137,471
M5R,341,113,454
M5S,112,48,160
M5T,77,30,107
M5V,657,125,782
M5W,6,13,19
M5X,6,1,7
M6A,122,37,159
M6B,186,74,260
M6C,286,89,375
M6E,163,65,228
M6G,222,117,339
M6H,194,109,303
M6J,262,79,341
M6K,258,82,340
M6L,74,27,101
M6M,116,55,171
M6N,156,70,226
M6P,249,132,381
M6R,185,94,279
M6S,426,208,634
M6Y,1,,1
M7A,7,1,8
M8A,1,1,2
M8B,2,,2
M8V,468,160,628
M8W,253,96,349
M8X,244,97,341
M8Y,275,98,373
M8Z,477,171,648
M9A,437,183,620
M9B,427,136,563
M9C,273,126,399
M9L,94,22,116
M9M,110,20,130
M9N,114,38,152
M9P,127,47,174
M9R,142,55,197
M9V,252,69,321
M9W,1411,139,1550
M9Y,1,1,2
N0A,190,96,286
N0B,1267,499,1766
N0C,122,46,168
N0E,191,95,286
N0G,390,198,588
N0H,495,261,756
N0J,208,99,307
N0K,78,45,123
N0L,420,179,599
N0M,398,202,600
N0N,154,115,269
N0P,189,124,313
N0R,342,190,532
N1A,44,18,62
N1B,1,,1
N1C,50,29,79
N1E,385,185,570
N1G,323,154,477
N1H,374,155,529
N1J,1,,1
N1K,99,57,156
N1L,284,88,372
N1M,157,74,231
N1N,1,,1
N1P,72,21,93
N1R,275,90,365
N1S,208,85,293
N1T,227,75,302
N2A,332,117,449
N2B,165,59,224
N2C,106,47,153
N2E,252,113,365
N2G,153,56,209
N2H,210,110,320
N2J,242,87,329
N2K,486,167,653
N2L,371,138,509
N2M,238,97,335
N2N,201,124,325
N2P,405,147,552
N2R,351,108,459
N2S,1,,1
N2T,306,143,449
N2V,334,134,468
N2Z,147,62,209
N3A,222,111,333
N3B,110,57,167
N3C,318,111,429
N3E,56,9,65
N3G,1,,1
N3H,201,68,269
N3K,1,,1
N3L,214,108,322
N3M,2,,2
N3P,35,31,66
N3R,197,89,286
N3S,114,64,178
N3T,389,145,534
N3V,24,5,29
N3W,156,60,216
N3Y,107,52,159
N4B,21,20,41
N4C,1,,1
N4G,135,61,196
N4K,163,90,253
N4L,39,23,62
N4N,52,21,73
N4S,205,87,292
N4T,175,59,234
N4V,34,12,46
N4W,112,38,150
N4X,81,37,118
N4Z,20,12,32
N5A,219,128,347
N5C,105,41,146
N5H,52,24,76
N5K,1,,1
N5L,27,11,38
N5N,2,,2
N5P,111,62,173
N5R,142,83,225
N5V,101,77,178
N5W,80,44,124
N5X,313,170,483
N5Y,91,56,147
N5Z,53,59,112
N6A,98,59,157
N6B,42,29,71
N6C,160,108,268
N6E,55,70,125
N6G,459,242,701
N6H,271,142,413
N6J,87,62,149
N6K,337,189,526
N6L,60,35,95
N6M,77,35,112
N6N,15,3,18
N6P,147,84,231
N6R,1,,1
N7A,80,42,122
N7G,106,51,157
N7L,81,51,132
N7M,124,48,172
N7S,105,77,182
N7T,75,51,126
N7V,41,28,69
N7W,17,12,29
N7X,18,5,23
N8A,31,17,48
N8H,89,56,145
N8L,27,16,43
N8M,55,44,99
N8N,177,118,295
N8P,87,60,147
N8R,54,43,97
N8S,55,43,98
N8T,36,28,64
N8V,1,1,2
N8W,73,71,144
N8X,71,30,101
N8Y,63,32,95
N9A,69,72,141
N9B,52,38,90
N9C,11,15,26
N9E,127,68,195
N9G,127,78,205
N9H,138,74,212
N9J,173,87,260
N9K,29,12,41
N9L,1,,1
N9T,1,,1
N9V,129,85,214
N9Y,97,54,151
P0A,74,37,111
P0B,88,29,117
P0C,33,12,45
P0E,22,14,36
P0G,14,11,25
P0H,72,94,166
P0J,50,35,85
P0K,8,9,17
P0L,23,30,53
P0M,140,114,254
P0N,11,10,21
P0P,33,47,80
P0R,27,19,46
P0S,24,11,35
P0T,43,54,97
P0V,11,8,19
P0W,4,3,7
P0X,14,15,29
P1A,35,29,64
P1B,89,80,169
P1C,23,17,40
P1H,125,54,179
P1L,141,68,209
P1P,52,27,79
P2A,72,30,102
P2B,19,20,39
P2N,6,4,10
P3A,77,64,141
P3B,59,48,107
P3C,28,37,65
P3E,220,137,357
P3G,48,32,80
P3L,21,21,42
P3N,25,26,51
P3P,146,197,343
P3S,1,,1
P3Y,30,28,58
P4N,32,33,65
P4P,4,9,13
P4R,9,14,23
P5A,5,9,14
P5E,7,9,16
P5N,16,17,33
P6A,89,69,158
P6B,96,36,132
P6C,17,18,35
P7A,77,75,152
P7B,74,73,147
P7C,31,34,65
P7E,30,39,69
P7G,44,41,85
P7J,20,20,40
P7K,17,21,38
P7L,6,3,9
P7N,,1,1
P8A,1,,1
P8N,13,11,24
P8T,6,8,14
P9A,7,12,19
P9N,21,23,44
