FSA,BEV,PHEV,Total EV
L0P,169,36,205
L0R,727,293,1020
L0S,550,249,799
L0X,1,,1
L1A,97,43,140
L1B,89,27,116
L1C,372,125,497
L1E,164,68,232
L1G,177,79,256
L1H,162,64,226
L1J,250,84,334
L1K,370,107,477
L1L,189,50,239
L1M,248,79,327
L1N,367,186,553
L1P,349,93,442
L1R,404,104,508
L1S,353,131,484
L1T,504,133,637
L1V,502,131,633
L1W,199,61,260
L1X,363,80,443
L1Y,48,12,60
L1Z,431,132,563
L2A,88,36,124
L2E,63,32,95
L2G,154,65,219
L2H,190,73,263
L2J,71,39,110
L2M,86,54,140
L2N,181,79,260
L2P,71,29,100
L2R,181,156,337
L2S,109,50,159
L2T,64,35,99
L2V,132,38,170
L2W,12,6,18
L2Y,,1,1
L3A,1,,1
L3B,113,45,158
L3C,126,64,190
L3E,1,,1
L3G,,1,1
L3H,2,,2
L3J,100,44,144
L3K,65,39,104
L3L,24,2,26
L3M,352,144,496
L3N,1,,1
L3P,540,154,694
L3R,1210,303,1513
L3S,532,121,653
L3T,722,207,929
L3V,208,123,331
L3X,732,166,898
L3Y,453,202,655
L3Z,510,107,617
L4A,954,247,1201
L4B,951,236,1187
L4C,1154,260,1414
L4E,1186,238,1424
L4G,1190,286,1476
L4H,1276,239,1515
L4J,984,269,1253
L4K,597,127,724
L4L,641,130,771
L4M,314,109,423
L4N,753,236,989
L4P,276,74,350
L4R,78,37,115
L4S,774,181,955
L4T,173,51,224
L4V,56,15,71
L4W,525,167,692
L4X,82,22,104
L4Y,213,55,268
L4Z,305,133,438
L5A,185,54,239
L5B,465,134,599
L5C,286,79,365
L5E,117,40,157
L5G,320,107,427
L5H,403,112,515
L5J,276,99,375
L5K,146,40,186
L5L,429,157,586
L5M,1316,341,1657
L5N,787,290,1077
L5P,3,8,11
L5R,452,118,570
L5S,74,15,89
L5T,164,31,195
L5V,514,129,643
L5W,369,70,439
L5X,1,,1
L5Y,1,,1
L6A,1330,250,1580
L6B,709,144,853
L6C,1496,264,1760
L6E,661,127,788
L6G,136,60,196
L6H,1519,414,1933
L6J,720,231,951
L6K,358,151,509
L6L,707,187,894
L6M,1511,341,1852
L6N,1,1,2
L6P,1314,189,1503
L6R,782,178,960
L6S,328,130,458
L6T,258,142,400
L6V,206,80,286
L6W,176,48,224
L6X,807,173,980
L6Y,1048,263,1311
L6Z,224,80,304
L7A,1037,268,1305
L7B,529,91,620
L7C,775,162,937
L7E,436,112,548
L7G,537,191,728
L7H,2,,2
L7J,127,41,168
L7K,157,27,184
L7L,640,264,904
L7M,686,240,926
L7N,184,89,273
L7P,346,121,467
L7R,218,85,303
L7S,104,50,154
L7T,197,102,299
L8A,,1,1
L8B,341,112,453
L8E,397,138,535
L8G,124,47,171
L8H,91,43,134
L8J,258,80,338
L8K,99,79,178
L8L,113,52,165
L8M,49,40,89
L8N,60,35,95
L8P,141,92,233
L8R,41,21,62
L8S,74,49,123
L8T,70,42,112
L8V,49,40,89
L8W,130,56,186
L9A,105,55,160
L9B,176,84,260
L9C,240,120,360
L9E,460,59,519
L9G,386,152,538
L9H,365,207,572
L9J,82,15,97
L9K,251,82,333
L9L,123,36,159
L9M,60,41,101
L9N,477,108,585
L9P,197,72,269
L9R,231,73,304
L9S,373,96,469
L9T,1459,393,1852
L9V,159,54,213
L9W,427,150,577
L9X,201,57,258
L9Y,288,113,401
L9Z,146,61,207
M0N,1,,1
M1B,313,147,460
M1C,366,118,484
M1E,241,92,333
M1G,111,42,153
M1H,128,35,163
M1J,90,38,128
M1K,126,50,176
M1L,134,53,187
M1M,160,73,233
M1N,165,77,242
M1P,202,71,273
M1R,160,53,213
M1S,269,82,351
M1T,145,62,207
M1V,304,70,374
M1W,225,75,300
M1X,143,40,183
M2B,1,,1
M2E,1,,1
M2H,196,65,261
M2J,529,155,684
M2K,306,90,396
M2L,271,60,331
M2M,296,104,400
M2N,857,253,1110
M2P,206,35,241
M2R,185,87,272
M3A,471,68,539
M3B,339,89,428
M3C,240,62,302
M3H,304,90,394
M3J,171,50,221
M3K,71,13,84
M3L,58,18,76
M3M,48,21,69
M3N,79,22,101
M3R,,1,1
M3V,1,,1
M3Y,1,,1
M4A,64,27,91
M4B,120,48,168
M4C,200,101,301
M4E,247,112,359
M4G,355,120,475
M4H,29,21,50
M4J,225,98,323
M4K,208,99,307
M4L,254,116,370
M4M,316,90,406
M4N,349,116,465
M4P,174,61,235
M4R,170,66,236
M4S,288,63,351
M4T,150,53,203
M4V,272,87,359
M4W,262,93,355
M4X,50,18,68
M4Y,158,44,202
M5A,327,100,427
M5B,65,18,83
M5C,174,22,196
M5E,107,24,131
M5G,108,52,160
M5H,235,39,274
M5J,142,50,192
M5K,6,1,7
M5L,3,1,4
M5M,464,151,615
M5N,223,71,294
M5P,298,108,406
M5R,305,83,388
M5S,97,41,138
M5T,76,22,98
M5V,571,105,676
M5W,3,13,16
M5X,6,1,7
M6A,107,33,140
M6B,169,58,227
M6C,230,75,305
M6E,143,52,195
M6G,184,99,283
M6H,175,91,266
M6J,219,67,286
M6K,219,66,285
M6L,65,21,86
M6M,98,48,146
M6N,132,61,193
M6P,223,99,322
M6R,163,80,243
M6S,371,175,546
M6Y,1,,1
M6Z,1,,1
M7A,5,1,6
M8A,1,1,2
M8B,2,,2
M8V,378,123,501
M8W,227,58,285
M8X,213,72,285
M8Y,231,75,306
M8Z,419,142,561
M9A,377,139,516
M9B,362,111,473
M9C,236,95,331
M9L,72,18,90
M9M,79,17,96
M9N,81,31,112
M9P,102,29,131
M9R,113,45,158
M9V,218,55,273
M9W,1403,91,1494
M9Y,1,1,2
N0A,156,76,232
N0B,980,400,1380
N0C,81,38,119
N0E,157,77,234
N0G,302,156,458
N0H,391,195,586
N0J,162,81,243
N0K,62,42,104
N0L,318,138,456
N0M,304,159,463
N0N,119,90,209
N0P,148,89,237
N0R,297,183,480
N1A,37,16,53
N1C,39,23,62
N1E,297,134,431
N1G,259,113,372
N1H,291,121,412
N1J,1,,1
N1K,82,33,115
N1L,235,76,311
N1M,117,63,180
N1N,1,,1
N1P,43,13,56
N1R,228,68,296
N1S,168,68,236
N1T,181,56,237
N2A,248,99,347
N2B,133,47,180
N2C,87,37,124
N2E,192,83,275
N2G,137,47,184
N2H,171,94,265
N2J,193,72,265
N2K,385,126,511
N2L,301,108,409
N2M,177,76,253
N2N,152,94,246
N2P,287,112,399
N2R,248,71,319
N2S,1,,1
N2T,251,107,358
N2V,274,107,381
N2Z,120,52,172
N3A,172,86,258
N3B,77,44,121
N3C,246,94,340
N3E,47,6,53
N3G,1,,1
N3H,164,53,217
N3K,1,,1
N3L,172,71,243
N3M,2,,2
N3P,30,27,57
N3R,152,71,223
N3S,100,50,150
N3T,306,119,425
N3V,20,3,23
N3W,112,48,160
N3Y,94,39,133
N4B,14,12,26
N4C,1,,1
N4G,112,49,161
N4K,136,81,217
N4L,36,24,60
N4N,42,17,59
N4S,154,68,222
N4T,132,47,179
N4V,26,12,38
N4W,85,33,118
N4X,60,30,90
N4Z,19,11,30
N5A,177,104,281
N5C,83,31,114
N5H,42,15,57
N5K,1,,1
N5L,23,6,29
N5N,2,,2
N5P,83,54,137
N5R,107,63,170
N5V,80,59,139
N5W,64,35,99
N5X,241,123,364
N5Y,69,43,112
N5Z,37,47,84
N6A,82,53,135
N6B,41,22,63
N6C,134,83,217
N6E,48,49,97
N6G,357,182,539
N6H,196,122,318
N6J,70,49,119
N6K,246,147,393
N6L,56,30,86
N6M,51,18,69
N6N,13,2,15
N6P,104,64,168
N6R,1,,1
N6X,1,,1
N7A,67,39,106
N7G,75,39,114
N7L,60,39,99
N7M,100,32,132
N7S,85,54,139
N7T,69,35,104
N7V,31,18,49
N7W,13,10,23
N7X,15,6,21
N8A,21,17,38
N8H,60,48,108
N8M,41,37,78
N8N,142,95,237
N8P,67,45,112
N8R,32,32,64
N8S,45,34,79
N8T,30,21,51
N8V,1,,1
N8W,63,56,119
N8X,69,28,97
N8Y,46,28,74
N9A,53,81,134
N9B,46,24,70
N9C,10,12,22
N9E,86,41,127
N9G,96,63,159
N9H,113,59,172
N9J,125,66,191
N9K,19,7,26
N9T,1,,1
N9V,94,70,164
N9Y,89,41,130
P0A,61,27,88
P0B,72,24,96
P0C,30,8,38
P0E,17,14,31
P0G,11,9,20
P0H,69,70,139
P0J,40,30,70
P0K,9,8,17
P0L,19,29,48
P0M,102,89,191
P0N,4,4,8
P0P,25,39,64
P0R,16,17,33
P0S,14,7,21
P0T,42,43,85
P0V,8,7,15
P0W,4,2,6
P0X,12,13,25
P1A,29,25,54
P1B,73,68,141
P1C,17,10,27
P1H,96,46,142
P1L,117,53,170
P1P,41,23,64
P2A,65,23,88
P2B,16,15,31
P2N,5,3,8
P3A,57,57,114
P3B,46,37,83
P3C,19,23,42
P3E,172,103,275
P3G,39,26,65
P3L,14,18,32
P3N,18,24,42
P3P,102,140,242
P3S,1,,1
P3Y,21,23,44
P4N,21,22,43
P4P,2,8,10
P4R,8,10,18
P5A,2,6,8
P5E,4,6,10
P5N,13,17,30
P6A,66,53,119
P6B,84,29,113
P6C,14,13,27
P7A,59,59,118
P7B,51,60,111
P7C,29,31,60
P7E,22,33,55
P7G,36,37,73
P7J,13,18,31
P7K,15,13,28
P7L,4,3,7
P8A,1,,1
P8N,12,12,24
P8T,6,6,12
P9A,7,11,18
P9N,17,19,36
