FSA,BEV,PHEV,Total EV
K0A,1021,418,1439
K0B,104,64,168
K0C,218,134,352
K0E,177,86,263
K0G,267,123,390
K0H,248,159,407
K0J,105,84,189
K0K,532,285,817
K0L,314,165,479
K0M,225,72,297
K0N,1,,1
K1A,60,62,122
K1B,121,59,180
K1C,250,178,428
K1E,74,40,114
K1G,212,154,366
K1H,148,91,239
K1J,214,115,329
K1K,228,127,355
K1L,70,60,130
K1M,99,57,156
K1N,114,85,199
K1P,42,47,89
K1R,111,55,166
K1S,363,262,625
K1T,300,146,446
K1V,366,243,609
K1W,155,78,233
K1X,77,15,92
K1Y,272,136,408
K1Z,193,91,284
K2A,248,123,371
K2B,146,102,248
K2C,183,107,290
K2E,153,75,228
K2G,338,178,516
K2H,218,120,338
K2J,735,333,1068
K2K,263,132,395
K2L,90,69,159
K2M,271,138,409
K2P,114,65,179
K2R,35,14,49
K2S,469,210,679
K2T,171,65,236
K2V,159,67,226
K2W,134,38,172
K3M,,1,1
K4A,497,234,731
K4B,56,27,83
K4C,85,24,109
K4K,164,75,239
K4M,370,123,493
K4N,1,,1
K4P,180,65,245
K4R,64,37,101
K5M,1,,1
K5W,2,,2
K6A,68,28,96
K6G,,1,1
K6H,95,64,159
K6J,33,28,61
K6K,18,8,26
K6T,1,1,2
K6V,102,73,175
K7A,56,37,93
K7C,163,58,221
K7G,43,20,63
K7H,89,68,157
K7K,169,79,248
K7L,204,115,319
K7M,250,143,393
K7N,32,18,50
K7P,165,70,235
K7R,52,28,80
K7S,72,27,99
K7V,41,19,60
K8A,59,45,104
K8B,1,2,3
K8H,64,40,104
K8J,1,,1
K8K,,1,1
K8N,120,81,201
K8P,52,38,90
K8R,9,7,16
K8V,100,68,168
K9A,165,92,257
K9B,1,,1
K9H,118,61,179
K9J,180,114,294
K9K,89,38,127
K9L,44,20,64
K9V,89,41,130
L0A,131,40,171
L0B,120,41,161
L0C,78,27,105
L0E,118,45,163
L0G,490,126,616
L0H,12,7,19
L0J,111,25,136
L0K,252,92,344
L0L,418,138,556
L0M,230,75,305
L0N,26,8,34
