FSA,BEV,PHEV,Total EV
K0A,1346,565,1911
K0B,139,85,224
K0C,293,182,475
K0E,237,115,352
K0G,352,154,506
K0H,324,215,539
K0J,133,108,241
K0K,745,397,1142
K0L,412,242,654
K0M,293,111,404
K0N,1,,1
K1A,81,58,139
K1B,160,85,245
K1C,294,236,530
K1E,102,64,166
K1G,301,188,489
K1H,180,113,293
K1J,267,141,408
K1K,281,188,469
K1L,94,71,165
K1M,129,76,205
K1N,149,107,256
K1P,36,26,62
K1R,130,76,206
K1S,465,313,778
K1T,407,192,599
K1V,467,299,766
K1W,221,108,329
K1X,109,35,144
K1Y,325,165,490
K1Z,241,120,361
K2A,283,158,441
K2B,189,141,330
K2C,235,136,371
K2E,184,103,287
K2G,457,256,713
K2H,271,152,423
K2J,984,459,1443
K2K,336,186,522
K2L,132,86,218
K2M,355,188,543
K2P,126,76,202
K2R,46,13,59
K2S,618,283,901
K2T,216,91,307
K2V,220,99,319
K2W,174,53,227
K3M,,1,1
K4A,692,334,1026
K4B,78,34,112
K4C,106,32,138
K4K,220,107,327
K4M,497,162,659
K4N,2,,2
K4P,217,93,310
K4R,105,43,148
K5M,1,,1
K5W,2,,2
K6A,85,47,132
K6H,134,86,220
K6J,52,43,95
K6K,20,8,28
K6T,3,2,5
K6V,123,89,212
K7A,83,52,135
K7C,214,82,296
K7G,80,32,112
K7H,127,80,207
K7K,201,102,303
K7L,246,142,388
K7M,306,197,503
K7N,41,26,67
K7P,216,103,319
K7R,64,38,102
K7S,119,48,167
K7V,53,28,81
K8A,76,64,140
K8B,,2,2
K8H,93,60,153
K8J,1,,1
K8K,,1,1
K8N,156,113,269
K8P,66,52,118
K8R,11,8,19
K8V,144,84,228
K9A,235,105,340
K9B,1,,1
K9H,160,83,243
K9J,237,145,382
K9K,114,55,169
K9L,51,26,77
K9V,120,57,177
L0A,172,54,226
L0B,160,55,215
L0C,98,38,136
L0E,176,62,238
L0G,680,186,866
L0H,18,9,27
L0J,133,31,164
L0K,327,130,457
L0L,533,180,713
L0M,265,91,356
L0N,25,10,35
L0P,211,45,256
L0R,915,380,1295
L0S,758,319,1077
L0X,1,,1
L1A,138,56,194
L1B,139,40,179
L1C,524,156,680
L1E,265,92,357
L1G,241,115,356
L1H,222,92,314
L1J,404,103,507
L1K,496,136,632
L1L,287,77,364
L1M,343,109,452
L1N,489,249,738
L1P,498,136,634
L1R,547,182,729
L1S,448,164,612
L1T,664,172,836
L1V,638,193,831
L1W,234,72,306
L1X,525,114,639
L1Y,60,14,74
