FSA,BEV,PHEV,Total EV
L1Z,546,174,720
L2A,115,46,161
L2E,82,50,132
L2G,201,80,281
L2H,278,105,383
L2J,90,48,138
L2M,135,84,219
L2N,232,100,332
L2P,99,40,139
L2R,201,174,375
L2S,148,66,214
L2T,94,48,142
L2V,198,69,267
L2W,22,8,30
L2Y,,1,1
L3A,1,,1
L3B,155,68,223
L3C,167,90,257
L3E,1,,1
L3H,1,,1
L3J,156,63,219
L3K,83,51,134
L3L,38,4,42
L3M,463,179,642
L3N,1,,1
L3P,710,199,909
L3R,1423,362,1785
L3S,669,155,824
L3T,938,273,1211
L3V,287,165,452
L3W,42,15,57
L3X,984,200,1184
L3Y,567,250,817
L3Z,651,152,803
L4A,1269,322,1591
L4B,1135,301,1436
L4C,1466,386,1852
L4E,1614,330,1944
L4G,1578,379,1957
L4H,1606,325,1931
L4J,1350,349,1699
L4K,682,169,851
L4L,758,164,922
L4M,450,144,594
L4N,992,309,1301
L4P,377,101,478
L4R,92,47,139
L4S,1094,241,1335
L4T,190,60,250
L4V,53,17,70
L4W,576,245,821
L4X,99,38,137
L4Y,273,76,349
L4Z,364,169,533
L5A,231,86,317
L5B,577,164,741
L5C,372,105,477
L5E,173,55,228
L5G,407,140,547
L5H,499,147,646
L5J,338,129,467
L5K,202,58,260
L5L,543,188,731
L5M,1722,459,2181
L5N,1010,358,1368
L5P,3,14,17
L5R,522,153,675
L5S,70,19,89
L5T,160,28,188
L5V,633,162,795
L5W,423,104,527
L5X,2,,2
L5Y,2,,2
L6A,1693,324,2017
L6B,895,213,1108
L6C,1927,349,2276
L6E,853,170,1023
L6G,237,100,337
L6H,2033,579,2612
L6J,1072,362,1434
L6K,325,107,432
L6L,882,251,1133
L6M,1971,485,2456
L6N,,1,1
L6P,1579,265,1844
L6R,931,236,1167
L6S,381,172,553
L6T,294,156,450
L6V,256,100,356
L6W,198,59,257
L6X,955,220,1175
L6Y,1248,330,1578
L6Z,279,116,395
L7A,1272,362,1634
L7B,624,117,741
L7C,931,225,1156
L7E,509,142,651
L7G,682,250,932
L7H,3,,3
L7J,164,52,216
L7K,201,37,238
L7L,814,341,1155
L7M,897,308,1205
L7N,241,123,364
L7P,440,178,618
L7R,285,125,410
L7S,141,56,197
L7T,249,132,381
L7X,,1,1
L7Z,,4,4
L8A,1,1,2
L8B,469,151,620
L8E,491,177,668
L8G,173,64,237
L8H,128,64,192
L8J,343,124,467
L8K,138,100,238
L8L,203,75,278
L8M,59,52,111
L8N,100,49,149
L8P,183,127,310
L8R,47,28,75
L8S,101,69,170
L8T,90,53,143
L8V,74,56,130
L8W,169,86,255
L9A,140,74,214
L9B,227,115,342
L9C,300,159,459
L9E,619,90,709
L9G,517,203,720
L9H,496,279,775
L9J,161,30,191
L9K,324,106,430
L9L,159,47,206
L9M,89,49,138
L9N,676,147,823
L9P,268,97,365
L9R,285,87,372
L9S,492,130,622
L9T,1874,493,2367
L9V,201,72,273
L9W,527,199,726
L9X,279,70,349
L9Y,356,158,514
L9Z,195,79,274
M0N,1,,1
M1B,382,177,559
M1C,445,159,604
M1E,296,112,408
M1G,130,57,187
M1H,154,56,210
M1J,120,49,169
M1K,163,64,227
M1L,167,72,239
M1M,180,89,269
M1N,197,104,301
M1P,231,75,306
M1R,193,66,259
M1S,319,104,423
M1T,225,73,298
M1V,349,78,427
M1W,295,100,395
M1X,155,58,213
M2B,1,,1
M2E,2,,2
M2H,235,86,321
M2J,659,212,871
M2K,428,118,546
M2L,335,86,421
M2M,407,124,531
M2N,1049,357,1406
M2P,270,48,318
M2R,239,123,362
M3A,526,98,624
M3B,419,121,540
M3C,318,88,406
M3H,396,132,528
M3J,219,68,287
M3K,79,20,99
M3L,66,25,91
M3M,65,28,93
M3N,98,31,129
M3R,,1,1
M3V,1,,1
M3Y,1,,1
M4A,82,33,115
M4B,145,64,209
M4C,252,141,393
M4E,279,154,433
M4G,425,171,596
M4H,34,25,59
M4J,265,136,401
M4K,271,136,407
M4L,314,146,460
M4M,334,123,457
M4N,422,156,578
M4P,226,83,309
M4R,215,98,313
M4S,355,116,471
M4T,198,79,277
M4V,331,120,451
M4W,354,152,506
M4X,59,33,92
M4Y,193,56,249
M5A,395,128,523
M5B,84,27,111
M5C,269,42,311
M5E,127,26,153
M5G,137,54,191
M5H,319,64,383
M5J,139,49,188
M5K,5,2,7
M5L,,1,1
M5M,610,201,811
M5N,283,89,372
M5P,353,142,495
M5R,360,118,478
M5S,115,49,164
M5T,77,27,104
M5V,672,132,804
M5W,6,11,17
M5X,5,1,6
M6A,139,40,179
M6B,193,80,273
M6C,305,98,403
M6E,169,70,239
M6G,236,120,356
M6H,201,117,318
M6J,283,84,367
M6K,254,82,336
M6L,73,27,100
M6M,122,63,185
M6N,162,78,240
M6P,273,140,413
M6R,193,100,293
M6S,455,223,678
M6V,1,,1
M6Y,1,,1
M7A,7,1,8
M8A,1,,1
M8B,1,,1
M8V,500,174,674
M8W,271,97,368
M8X,262,111,373
M8Y,288,100,388
M8Z,491,169,660
M9A,454,189,643
M9B,455,147,602
M9C,288,129,417
M9L,101,26,127
M9M,110,24,134
M9N,108,41,149
M9P,145,47,192
M9R,155,58,213
M9V,251,73,324
M9W,1390,136,1526
M9Y,2,1,3
N0A,222,109,331
N0B,1358,533,1891
N0C,130,47,177
N0E,200,99,299
N0G,410,201,611
N0H,532,297,829
N0J,226,105,331
N0K,86,48,134
N0L,453,193,646
N0M,429,219,648
N0N,167,125,292
N0P,211,132,343
N0R,352,195,547
N1A,50,21,71
N1B,1,,1
N1C,53,29,82
N1E,412,208,620
N1G,331,161,492
N1H,390,163,553
N1J,1,,1
N1K,106,57,163
N1L,302,91,393
N1M,172,79,251
N1N,1,,1
N1P,72,23,95
N1R,305,99,404
N1S,235,87,322
N1T,247,83,330
N2A,353,143,496
N2B,172,67,239
N2C,114,58,172
N2E,281,124,405
N2G,165,59,224
N2H,225,118,343
N2J,262,100,362
N2K,496,170,666
N2L,384,149,533
N2M,247,100,347
N2N,218,130,348
N2P,435,150,585
N2R,379,117,496
N2S,1,1,2
N2T,325,158,483
N2V,367,143,510
N2Z,156,63,219
N3A,226,114,340
N3B,121,62,183
N3C,326,118,444
N3E,61,12,73
N3G,1,,1
N3H,205,81,286
N3K,1,,1
N3L,232,108,340
N3M,2,,2
N3P,38,32,70
N3R,200,101,301
N3S,131,68,199
N3T,417,159,576
N3V,25,6,31
N3W,180,64,244
N3Y,123,61,184
N4B,24,21,45
N4C,1,,1
N4G,147,66,213
N4K,163,96,259
N4L,40,26,66
N4N,55,23,78
N4S,224,89,313
N4T,187,65,252
N4V,32,11,43
N4W,113,43,156
N4X,88,39,127
N4Z,21,12,33
N5A,232,135,367
N5C,112,41,153
N5H,60,26,86
N5K,1,,1
N5L,28,10,38
N5M,1,,1
N5N,1,,1
N5P,120,66,186
N5R,161,92,253
N5V,123,89,212
N5W,91,47,138
N5X,348,186,534
N5Y,94,65,159
N5Z,58,63,121
N6A,105,61,166
N6B,42,30,72
N6C,172,113,285
N6E,65,73,138
N6G,487,267,754
N6H,299,165,464
N6J,99,69,168
N6K,358,203,561
N6L,68,36,104
N6M,84,37,121
N6N,15,4,19
N6P,157,91,248
N6R,1,,1
N6X,,1,1
N7A,82,46,128
N7G,147,51,198
N7L,81,55,136
N7M,130,57,187
N7S,107,81,188
N7T,80,56,136
N7V,43,30,73
N7W,19,12,31
N7X,22,7,29
N8A,29,20,49
N8H,91,61,152
N8L,36,31,67
N8M,58,42,100
N8N,189,124,313
N8P,91,66,157
N8R,59,44,103
N8S,59,47,106
N8T,39,26,65
N8V,1,1,2
N8W,86,71,157
N8X,82,28,110
N8Y,65,32,97
N9A,75,74,149
N9B,55,39,94
N9C,13,15,28
N9E,140,76,216
N9G,138,83,221
N9H,153,78,231
N9J,190,98,288
N9K,33,14,47
N9L,1,,1
N9T,1,1,2
N9V,143,94,237
N9Y,100,58,158
P0A,78,41,119
P0B,98,35,133
P0C,34,12,46
P0E,24,14,38
P0G,16,14,30
P0H,81,94,175
P0J,50,39,89
P0K,9,11,20
P0L,24,34,58
P0M,157,123,280
P0N,13,8,21
P0P,28,48,76
P0R,29,19,48
P0S,23,13,36
P0T,44,58,102
P0V,12,9,21
P0W,4,3,7
P0X,15,17,32
P1A,36,33,69
P1B,94,90,184
P1C,24,18,42
P1H,137,57,194
P1L,147,69,216
P1P,51,26,77
P2A,76,32,108
P2B,20,20,40
P2N,7,4,11
P3A,78,63,141
P3B,66,48,114
P3C,31,40,71
P3E,227,144,371
P3G,49,36,85
P3L,21,23,44
P3N,27,27,54
P3P,144,196,340
P3S,1,,1
P3Y,36,31,67
P4N,29,37,66
P4P,5,8,13
P4R,10,14,24
P5A,5,9,14
P5E,10,10,20
P5N,17,16,33
P6A,88,69,157
P6B,97,39,136
P6C,18,19,37
P7A,85,81,166
P7B,71,73,144
P7C,33,37,70
P7E,33,41,74
P7G,49,43,92
P7J,22,20,42
P7K,18,26,44
P7L,7,5,12
P7N,,1,1
P8A,1,,1
P8N,15,14,29
P8T,5,9,14
P9A,7,13,20
P9N,21,23,44
