FSA,BEV,PHEV,TotalEV
M5A,246,72,318
M5B,43,17,60
M5C,44,10,54
M5E,78,21,99
M5G,60,45,105
M5H,101,19,120
M5J,114,37,151
M5K,6,2,8
M5L,2,,2
M5M,348,126,474
M5N,148,62,210
M5P,240,79,319
M5R,233,82,315
M5S,77,29,106
M5T,66,24,90
M5V,439,85,524
M5W,1,,1
M5X,4,2,6
M6A,68,27,95
M6B,131,47,178
M6C,184,60,244
M6E,100,31,131
M6G,143,71,214
M6H,123,59,182
M6J,173,55,228
M6K,170,54,224
M6L,40,18,58
M6M,59,34,93
M6N,72,45,117
M6P,147,92,239
M6R,116,75,191
M6S,279,141,420
M6Y,1,,1
M6Z,1,,1
M8A,1,1,2
M8B,3,,3
M8V,273,86,359
M8W,148,46,194
M8X,162,58,220
M8Y,186,66,252
M8Z,290,125,415
M9A,292,120,412
M9B,249,78,327
M9C,160,70,230
M9L,57,16,73
M9M,50,9,59
M9N,70,27,97
M9P,73,20,93
M9R,73,26,99
M9V,131,43,174
M9W,976,64,1040
N0A,105,60,165
N0B,709,307,1016
N0C,70,30,100
N0E,98,60,158
N0G,200,116,316
N0H,273,140,413
N0J,103,56,159
N0K,41,33,74
N0L,214,110,324
N0M,220,112,332
N0N,83,68,151
N0P,105,60,165
N0R,203,155,358
N1A,28,9,37
N1C,22,22,44
N1E,215,105,320
N1G,202,87,289
N1H,211,94,305
N1K,56,21,77
N1L,180,66,246
N1M,70,47,117
N1P,38,16,54
N1R,138,66,204
N1S,113,50,163
N1T,114,38,152
N2A,179,75,254
N2B,86,36,122
N2C,64,24,88
N2E,126,53,179
N2G,81,36,117
N2H,126,63,189
N2J,144,44,188
N2K,279,99,378
N2L,221,89,310
N2M,137,60,197
N2N,92,66,158
N2P,225,77,302
N2R,163,44,207
N2S,1,,1
N2T,166,82,248
N2V,166,80,246
N2Z,66,37,103
N3A,134,72,206
N3B,59,27,86
N3C,190,77,267
N3E,32,7,39
N3G,1,,1
N3H,100,35,135
N3K,1,,1
N3L,98,60,158
N3M,1,,1
N3P,17,18,35
N3R,98,59,157
N3S,72,31,103
N3T,197,89,286
N3V,12,3,15
N3W,81,28,109
N3Y,58,29,87
N4B,12,6,18
N4G,67,39,106
N4K,104,67,171
N4L,24,19,43
N4N,32,13,45
N4S,102,54,156
N4T,67,34,101
N4V,16,6,22
N4W,46,20,66
N4X,33,30,63
N4Z,10,9,19
N5A,117,74,191
N5C,54,18,72
N5H,28,17,45
N5L,16,8,24
N5N,1,,1
N5P,51,34,85
N5R,69,55,124
N5V,53,36,89
N5W,48,23,71
N5X,163,88,251
N5Y,39,31,70
N5Z,32,35,67
N6A,61,37,98
N6B,23,23,46
N6C,92,72,164
N6E,22,54,76
N6G,219,145,364
N6H,137,80,217
N6J,49,37,86
N6K,193,123,316
N6L,31,16,47
N6M,33,14,47
N6N,9,,9
N6P,74,48,122
N7A,47,31,78
N7G,51,29,80
N7L,41,28,69
N7M,60,34,94
N7S,50,38,88
N7T,34,20,54
N7V,26,10,36
N7W,10,6,16
N7X,13,5,18
N8A,16,11,27
N8H,43,41,84
N8M,24,26,50
N8N,105,65,170
N8P,47,37,84
N8R,22,26,48
N8S,37,33,70
N8T,18,15,33
N8W,47,35,82
N8X,34,20,54
N8Y,30,22,52
N9A,24,51,75
N9B,30,19,49
N9C,7,15,22
N9E,51,39,90
N9G,62,38,100
N9H,65,49,114
N9J,94,57,151
N9K,18,8,26
N9T,1,,1
N9V,63,43,106
N9Y,63,34,97
