FSA,BEV,PHEV,TotalEV
K0A,835,360,1195
K0B,91,54,145
K0C,184,118,302
K0E,134,74,208
K0G,240,112,352
K0H,216,134,350
K0J,84,76,160
K0K,419,247,666
K0L,265,139,404
K0M,177,67,244
K1A,29,62,91
K1B,101,52,153
K1C,205,160,365
K1E,67,35,102
K1G,159,129,288
K1H,127,87,214
K1J,184,111,295
K1K,168,111,279
K1L,48,54,102
K1M,85,58,143
K1N,101,77,178
K1P,27,14,41
K1R,90,44,134
K1S,310,230,540
K1T,249,124,373
K1V,302,218,520
K1W,134,64,198
K1X,60,13,73
K1Y,230,118,348
K1Z,151,81,232
K2A,212,107,319
K2B,116,86,202
K2C,161,92,253
K2E,131,67,198
K2G,292,156,448
K2H,171,102,273
K2J,614,294,908
K2K,232,120,352
K2L,82,70,152
K2M,238,121,359
K2P,100,48,148
K2R,24,11,35
K2S,387,188,575
K2T,150,58,208
K2V,145,61,206
K2W,116,34,150
K3M,,1,1
K4A,421,205,626
K4B,46,27,73
K4C,72,26,98
K4K,136,67,203
K4M,279,95,374
K4P,153,52,205
K4R,56,30,86
K5M,1,,1
K5W,2,,2
K6A,53,31,84
K6G,,1,1
K6H,83,53,136
K6J,31,26,57
K6K,15,6,21
K6T,2,1,3
K6V,75,62,137
K7A,44,28,72
K7C,132,48,180
K7G,34,17,51
K7H,81,57,138
K7K,140,74,214
K7L,178,106,284
K7M,204,131,335
K7N,31,14,45
K7P,151,67,218
K7R,46,25,71
K7S,61,19,80
K7V,35,17,52
K8A,49,42,91
K8B,,2,2
K8H,55,34,89
K8J,1,,1
K8K,,1,1
K8N,105,69,174
K8P,42,38,80
K8R,9,5,14
K8V,87,63,150
K9A,136,78,214
K9H,87,64,151
K9J,158,90,248
K9K,74,33,107
K9L,39,20,59
K9V,67,32,99
L0A,116,40,156
L0B,96,43,139
L0C,66,22,88
L0E,94,40,134
L0G,419,118,537
L0H,8,9,17
L0J,98,23,121
L0K,209,82,291
L0L,349,123,472
L0M,199,68,267
L0N,20,10,30
L0P,134,33,167
L0R,626,267,893
L0S,463,222,685
L0X,1,,1
L1A,87,43,130
L1B,80,27,107
L1C,301,109,410
L1E,145,64,209
L1G,145,73,218
L1H,129,54,183
L1J,199,72,271
L1K,303,87,390
L1L,158,44,202
L1M,202,78,280
L1N,293,155,448
L1P,290,76,366
L1R,320,83,403
L1S,323,117,440
L1T,430,115,545
L1V,436,127,563
L1W,165,46,211
L1X,286,64,350
L1Y,38,11,49
L1Z,346,122,468
L2A,75,28,103
L2E,59,30,89
L2G,127,57,184
L2H,165,72,237
L2J,59,32,91
L2M,76,44,120
L2N,152,75,227
L2P,53,28,81
L2R,152,147,299
L2S,84,45,129
L2T,43,27,70
L2V,106,35,141
L2W,10,4,14
L2Y,,1,1
L3A,1,,1
L3B,96,36,132
L3C,111,58,169
L3E,1,,1
L3G,,1,1
L3H,1,,1
L3J,80,39,119
L3K,57,32,89
L3L,15,1,16
L3M,300,148,448
L3N,1,,1
L3P,435,138,573
L3R,1003,273,1276
L3S,434,104,538
L3T,613,177,790
L3V,181,111,292
L3X,634,146,780
L3Y,352,169,521
L3Z,429,95,524
L4A,787,208,995
L4B,887,198,1085
L4C,936,223,1159
L4E,988,216,1204
L4G,1017,254,1271
L4H,1090,209,1299
L4J,842,236,1078
L4K,469,116,585
L4L,517,111,628
L4M,248,90,338
L4N,632,206,838
L4P,219,66,285
L4R,65,31,96
L4S,660,172,832
L4T,136,41,177
L4V,43,16,59
L4W,422,137,559
L4X,73,17,90
L4Y,148,47,195
L4Z,261,119,380
L5A,160,48,208
L5B,374,125,499
L5C,240,74,314
L5E,97,33,130
L5G,260,100,360
L5H,348,96,444
L5J,231,85,316
L5K,118,40,158
L5L,383,137,520
L5M,1101,294,1395
L5N,632,232,864
L5P,3,8,11
L5R,382,110,492
L5S,52,12,64
L5T,104,22,126
L5V,438,99,537
L5W,301,61,362
L5X,1,,1
L5Y,1,,1
L6A,1123,212,1335
L6B,602,119,721
L6C,1287,244,1531
L6E,535,114,649
L6G,108,42,150
L6H,1259,384,1643
L6J,617,209,826
L6K,283,139,422
L6L,602,167,769
L6M,1240,311,1551
L6N,1,1,2
L6P,1126,173,1299
L6R,643,161,804
L6S,266,112,378
L6T,203,116,319
L6V,171,68,239
L6W,146,47,193
L6X,696,153,849
L6Y,895,211,1106
L6Z,191,72,263
L7A,857,239,1096
L7B,444,79,523
L7C,646,134,780
L7E,338,106,444
L7G,460,179,639
L7H,2,,2
L7J,111,40,151
L7K,126,26,152
L7L,524,248,772
L7M,577,210,787
L7N,157,66,223
L7P,295,117,412
L7R,185,96,281
L7S,84,48,132
L7T,171,93,264
L8B,305,99,404
L8E,316,122,438
L8G,104,43,147
L8H,73,37,110
L8J,214,71,285
L8K,88,69,157
L8L,88,45,133
L8M,39,38,77
L8N,54,31,85
L8P,119,81,200
L8R,35,20,55
L8S,59,41,100
L8T,57,36,93
L8V,44,30,74
L8W,106,49,155
L9A,92,50,142
L9B,145,76,221
L9C,198,113,311
L9E,380,44,424
L9G,312,131,443
L9H,322,190,512
L9J,55,7,62
L9K,231,64,295
L9L,95,35,130
L9M,53,36,89
L9N,395,76,471
L9P,153,77,230
L9R,186,56,242
L9S,299,81,380
L9T,1208,325,1533
L9V,124,49,173
L9W,366,133,499
L9X,163,45,208
L9Y,235,94,329
L9Z,120,56,176
M0N,1,,1
M1B,283,137,420
M1C,329,101,430
M1E,208,83,291
M1G,83,38,121
M1H,111,41,152
M1J,77,37,114
M1K,109,32,141
M1L,116,52,168
M1M,134,62,196
M1N,139,68,207
M1P,177,54,231
M1R,122,44,166
M1S,194,71,265
M1T,133,50,183
M1V,246,61,307
M1W,192,61,253
M1X,119,31,150
M2B,1,,1
M2H,172,54,226
M2J,447,141,588
M2K,265,80,345
M2L,233,62,295
M2M,261,85,346
M2N,715,233,948
M2P,189,29,218
M2R,153,81,234
M3A,407,56,463
M3B,309,75,384
M3C,188,50,238
M3H,256,88,344
M3J,132,40,172
M3K,61,13,74
M3L,48,16,64
M3M,31,19,50
M3N,63,17,80
M3R,,1,1
M3Y,1,,1
M4A,46,18,64
M4B,99,37,136
M4C,164,94,258
M4E,200,100,300
M4G,317,107,424
M4H,24,15,39
M4J,182,81,263
M4K,183,83,266
M4L,226,111,337
M4M,223,83,306
M4N,316,107,423
M4P,147,57,204
M4R,154,76,230
M4S,257,55,312
M4T,133,48,181
M4V,230,79,309
M4W,240,84,324
M4X,41,12,53
M4Y,148,41,189
M5A,281,77,358
M5B,47,16,63
M5C,91,20,111
M5E,92,22,114
M5G,66,53,119
M5H,174,16,190
M5J,125,42,167
M5K,5,2,7
M5L,3,,3
M5M,396,134,530
M5N,190,68,258
M5P,259,87,346
M5R,258,86,344
M5S,77,37,114
M5T,67,25,92
M5V,516,95,611
M5W,2,13,15
M5X,5,2,7
M6A,90,33,123
M6B,144,42,186
M6C,210,66,276
M6E,114,45,159
M6G,162,87,249
M6H,138,71,209
M6J,193,65,258
M6K,185,58,243
M6L,52,19,71
M6M,82,41,123
M6N,106,53,159
M6P,180,94,274
M6R,141,77,218
M6S,319,154,473
M6Y,1,,1
M6Z,1,,1
M7A,5,,5
M8A,1,1,2
M8B,2,,2
M8V,333,102,435
M8W,188,47,235
M8X,183,67,250
M8Y,206,68,274
M8Z,333,138,471
M9A,331,135,466
M9B,306,95,401
M9C,192,84,276
M9L,61,18,79
M9M,57,15,72
M9N,81,29,110
M9P,92,21,113
M9R,98,31,129
M9V,168,50,218
M9W,1365,82,1447
M9Y,1,,1
N0A,124,60,184
N0B,831,350,1181
N0C,74,33,107
N0E,118,76,194
N0G,257,133,390
N0H,314,172,486
N0J,135,76,211
N0K,49,44,93
N0L,259,129,388
N0M,264,137,401
N0N,101,81,182
N0P,123,71,194
N0R,243,175,418
N1A,32,13,45
N1C,26,25,51
N1E,254,115,369
N1G,234,94,328
N1H,256,109,365
N1J,1,,1
N1K,66,26,92
N1L,203,73,276
N1M,95,53,148
N1P,45,13,58
N1R,192,59,251
N1S,132,57,189
N1T,151,42,193
N2A,210,89,299
N2B,107,41,148
N2C,84,33,117
N2E,155,69,224
N2G,109,42,151
N2H,142,75,217
N2J,169,57,226
N2K,334,118,452
N2L,253,96,349
N2M,156,67,223
N2N,122,85,207
N2P,268,98,366
N2R,213,58,271
N2S,1,,1
N2T,209,96,305
N2V,227,100,327
N2Z,85,41,126
N3A,155,77,232
N3B,65,35,100
N3C,219,81,300
N3E,43,7,50
N3G,1,,1
N3H,132,46,178
N3K,1,,1
N3L,136,62,198
N3M,1,,1
N3P,24,25,49
N3R,122,58,180
N3S,82,35,117
N3T,250,106,356
N3V,17,2,19
N3W,91,39,130
N3Y,65,32,97
N4B,13,10,23
N4G,97,45,142
N4K,120,74,194
N4L,31,22,53
N4N,33,17,50
N4S,128,60,188
N4T,101,38,139
N4V,21,9,30
N4W,63,30,93
N4X,48,30,78
N4Z,12,12,24
N5A,153,90,243
N5C,71,24,95
N5H,34,18,52
N5K,1,,1
N5L,21,8,29
N5N,2,,2
N5P,61,44,105
N5R,90,58,148
N5V,51,50,101
N5W,58,26,84
N5X,203,99,302
N5Y,58,38,96
N5Z,36,38,74
N6A,67,46,113
N6B,29,23,52
N6C,108,75,183
N6E,27,52,79
N6G,279,151,430
N6H,162,96,258
N6J,65,45,110
N6K,223,135,358
N6L,44,18,62
N6M,34,16,50
N6N,9,1,10
N6P,82,56,138
N6X,1,,1
N7A,56,37,93
N7G,63,32,95
N7L,50,31,81
N7M,79,36,115
N7S,73,47,120
N7T,47,27,74
N7V,28,16,44
N7W,12,10,22
N7X,14,6,20
N8A,17,14,31
N8H,44,48,92
N8M,39,34,73
N8N,111,77,188
N8P,56,37,93
N8R,23,30,53
N8S,41,38,79
N8T,21,19,40
N8W,49,47,96
N8X,46,27,73
N8Y,37,25,62
N9A,37,66,103
N9B,38,22,60
N9C,10,13,23
N9E,67,45,112
N9G,81,53,134
N9H,90,58,148
N9J,112,61,173
N9K,19,8,27
N9T,1,,1
N9V,77,59,136
N9Y,75,41,116
P0A,50,25,75
P0B,58,23,81
P0C,29,10,39
P0E,14,9,23
P0G,7,11,18
P0H,62,57,119
P0J,32,23,55
P0K,8,5,13
P0L,15,22,37
P0M,87,78,165
P0N,2,6,8
P0P,21,34,55
P0R,12,11,23
P0S,13,7,20
P0T,31,38,69
P0V,7,8,15
P0W,4,1,5
P0X,10,9,19
P1A,21,23,44
P1B,62,66,128
P1C,22,8,30
P1H,76,40,116
P1L,79,44,123
P1P,36,23,59
P2A,51,20,71
P2B,14,13,27
P2N,3,3,6
P3A,52,50,102
P3B,34,34,68
P3C,12,18,30
P3E,138,83,221
P3G,36,25,61
P3L,12,19,31
P3N,14,17,31
P3P,70,103,173
P3S,1,,1
P3Y,19,16,35
P4N,18,19,37
P4P,3,7,10
P4R,7,8,15
P5A,3,5,8
P5E,3,4,7
P5N,11,13,24
P6A,44,47,91
P6B,48,26,74
P6C,11,11,22
P7A,41,53,94
P7B,40,51,91
P7C,27,29,56
P7E,13,23,36
P7G,31,30,61
