FSA,BEV,PHEV,Total EV
N2R,431,134,565
N2S,1,1,2
N2T,359,176,535
N2V,388,156,544
N2Z,172,76,248
N3A,266,125,391
N3B,138,72,210
N3C,356,136,492
N3E,71,13,84
N3G,1,,1
N3H,240,95,335
N3J,1,,1
N3K,1,,1
N3L,272,118,390
N3M,1,,1
N3P,41,31,72
N3R,230,116,346
N3S,153,78,231
N3T,465,187,652
N3V,32,9,41
N3W,196,69,265
N3Y,141,66,207
N4B,24,20,44
N4C,1,,1
N4G,160,75,235
N4K,171,117,288
N4L,47,29,76
N4N,57,25,82
N4S,244,100,344
N4T,209,79,288
N4V,42,13,55
N4W,121,53,174
N4X,106,42,148
N4Z,25,12,37
N5A,263,149,412
N5C,130,46,176
N5G,,1,1
N5H,65,29,94
N5K,1,,1
N5L,34,12,46
N5M,1,,1
N5N,1,,1
N5P,134,66,200
N5R,181,109,290
N5V,144,102,246
N5W,97,53,150
N5X,391,208,599
N5Y,104,75,179
N5Z,70,63,133
N6A,134,70,204
N6B,57,30,87
N6C,192,129,321
N6E,82,80,162
N6G,544,295,839
N6H,327,180,507
N6J,110,77,187
N6K,406,234,640
N6L,79,37,116
N6M,104,45,149
N6N,18,5,23
N6P,194,97,291
N6R,1,,1
N7A,85,46,131
N7G,149,59,208
N7L,94,64,158
N7M,149,67,216
N7S,130,104,234
N7T,90,65,155
N7V,47,35,82
N7W,19,14,33
N7X,22,10,32
N8A,32,19,51
N8H,101,61,162
N8L,73,54,127
N8M,65,49,114
N8N,220,136,356
N8P,100,74,174
N8R,57,51,108
N8S,72,54,126
N8T,42,30,72
N8V,1,2,3
N8W,89,78,167
N8X,94,34,128
N8Y,69,36,105
N9A,105,85,190
N9B,61,38,99
N9C,14,19,33
N9E,142,82,224
N9G,153,91,244
N9H,172,85,257
N9J,204,107,311
N9K,33,12,45
N9T,,1,1
N9V,163,98,261
N9Y,113,63,176
P0A,95,40,135
P0B,110,37,147
P0C,41,18,59
P0E,26,16,42
P0G,17,14,31
P0H,94,104,198
P0J,53,40,93
P0K,10,12,22
P0L,27,37,64
P0M,166,131,297
P0N,10,10,20
P0P,32,54,86
P0R,32,23,55
P0S,26,14,40
P0T,49,62,111
P0V,13,9,22
P0W,4,3,7
P0X,15,19,34
P1A,47,37,84
P1B,116,105,221
P1C,26,20,46
P1H,150,62,212
P1L,147,70,217
P1P,58,26,84
P2A,86,42,128
P2B,23,23,46
P2N,12,7,19
P3A,89,67,156
P3B,76,57,133
P3C,32,40,72
P3E,247,156,403
P3G,52,37,89
P3L,21,27,48
P3N,29,31,60
P3P,146,258,404
P3S,1,,1
P3Y,39,36,75
P4N,37,43,80
P4P,5,7,12
P4R,14,14,28
P5A,5,11,16
P5E,11,12,23
P5N,18,24,42
P6A,91,87,178
P6B,109,43,152
P6C,27,18,45
P7A,92,83,175
P7B,82,97,179
P7C,36,42,78
P7E,33,42,75
P7G,65,47,112
P7J,27,21,48
P7K,21,29,50
P7L,7,6,13
P7N,,1,1
P8A,1,,1
P8N,18,18,36
P8S,,1,1
P8T,4,13,17
P9A,8,13,21
P9N,26,23,49
