FSA,BEV,PHEV,Total EV
K0A,1528,632,2160
K0B,160,89,249
K0C,325,210,535
K0E,262,142,404
K0G,410,179,589
K0H,368,230,598
K0J,150,119,269
K0K,849,437,1286
K0L,449,265,714
K0M,321,130,451
K0N,1,,1
K1A,86,67,153
K1B,178,90,268
K1C,345,261,606
K1E,116,77,193
K1G,342,219,561
K1H,199,131,330
K1J,294,162,456
K1K,304,206,510
K1L,112,82,194
K1M,138,89,227
K1N,167,121,288
K1P,54,25,79
K1R,144,83,227
K1S,519,358,877
K1T,472,216,688
K1V,502,342,844
K1W,247,125,372
K1X,119,48,167
K1Y,360,194,554
K1Z,252,137,389
K2A,302,177,479
K2B,211,161,372
K2C,267,156,423
K2E,204,112,316
K2G,501,291,792
K2H,310,157,467
K2J,1104,515,1619
K2K,381,210,591
K2L,168,105,273
K2M,402,205,607
K2P,149,80,229
K2R,50,23,73
K2S,689,328,1017
K2T,242,107,349
K2V,266,104,370
K2W,195,65,260
K3M,,1,1
K4A,767,373,1140
K4B,80,44,124
K4C,119,34,153
K4K,236,119,355
K4M,535,181,716
K4N,1,,1
K4P,245,105,350
K4R,121,60,181
K5M,1,,1
K5W,2,,2
K6A,110,51,161
K6H,163,101,264
K6J,62,47,109
K6K,23,9,32
K6T,4,2,6
K6V,133,106,239
K7A,107,58,165
K7C,242,92,334
K7G,89,38,127
K7H,138,95,233
K7K,218,111,329
K7L,268,159,427
K7M,347,224,571
K7N,45,29,74
K7P,235,106,341
K7R,67,51,118
K7S,167,52,219
K7V,56,29,85
K8A,85,72,157
K8B,1,2,3
K8H,99,64,163
K8J,1,,1
K8K,,1,1
K8N,172,134,306
K8P,83,56,139
K8R,11,8,19
K8V,164,90,254
K9A,263,118,381
K9B,1,,1
K9H,171,109,280
K9J,261,168,429
K9K,122,55,177
K9L,58,29,87
K9V,141,69,210
L0A,189,63,252
L0B,179,63,242
L0C,101,43,144
L0E,191,71,262
L0G,744,204,948
L0H,19,9,28
L0J,143,34,177
L0K,351,145,496
L0L,592,195,787
L0M,293,98,391
L0N,33,10,43
L0P,225,55,280
L0R,1034,407,1441
L0S,827,370,1197
L0X,1,,1
L1A,150,61,211
L1B,162,47,209
L1C,583,169,752
L1E,289,105,394
L1G,269,120,389
L1H,243,100,343
L1J,468,119,587
L1K,564,151,715
L1L,340,93,433
L1M,363,122,485
L1N,527,278,805
L1P,558,151,709
L1R,591,205,796
L1S,509,173,682
L1T,739,188,927
L1V,720,220,940
L1W,276,78,354
L1X,591,124,715
L1Y,70,14,84
L1Z,613,187,800
L2A,125,53,178
L2E,100,58,158
L2G,215,99,314
L2H,322,120,442
L2J,94,50,144
L2K,1,,1
L2M,145,91,236
L2N,247,110,357
L2P,110,42,152
L2R,228,192,420
L2S,173,77,250
L2T,102,56,158
L2V,246,76,322
L2W,24,7,31
L2Y,,1,1
L3A,1,,1
L3B,185,76,261
L3C,197,104,301
L3E,1,,1
L3H,3,,3
L3J,180,79,259
L3K,100,54,154
L3L,49,6,55
L3M,500,193,693
L3P,777,223,1000
L3R,1635,416,2051
L3S,721,175,896
L3T,1026,307,1333
L3V,316,179,495
L3W,64,22,86
L3X,1088,243,1331
L3Y,644,278,922
L3Z,724,175,899
L4A,1398,361,1759
L4B,1243,377,1620
L4C,1610,427,2037
L4E,1732,378,2110
L4G,1729,429,2158
L4H,1734,340,2074
L4J,1511,405,1916
L4K,810,207,1017
L4L,825,220,1045
L4M,518,155,673
L4N,1106,326,1432
L4P,426,123,549
L4R,102,52,154
L4S,1207,277,1484
L4T,197,73,270
L4V,56,15,71
L4W,579,303,882
L4X,111,52,163
L4Y,312,83,395
L4Z,425,186,611
L5A,276,101,377
L5B,626,185,811
L5C,421,139,560
L5E,185,57,242
L5G,436,156,592
L5H,570,164,734
L5J,370,139,509
L5K,216,74,290
L5L,599,214,813
L5M,1882,495,2377
L5N,1170,413,1583
L5P,3,31,34
L5R,585,172,757
L5S,74,20,94
L5T,177,35,212
L5V,683,208,891
L5W,449,118,567
L5X,1,,1
L5Y,,1,1
L6A,1842,364,2206
L6B,971,229,1200
L6C,2135,411,2546
L6E,944,201,1145
L6G,264,144,408
L6H,2314,652,2966
L6J,1155,404,1559
L6K,341,126,467
L6L,971,290,1261
L6M,2174,576,2750
L6N,,1,1
L6P,1694,314,2008
L6R,1029,274,1303
L6S,439,194,633
L6T,330,163,493
L6V,283,119,402
L6W,226,66,292
L6X,1027,259,1286
L6Y,1356,369,1725
L6Z,315,125,440
L7A,1425,412,1837
L7B,666,136,802
L7C,1029,252,1281
L7E,573,156,729
L7G,757,270,1027
L7H,3,,3
L7J,176,59,235
L7K,227,44,271
L7L,899,379,1278
L7M,982,350,1332
L7N,256,135,391
L7P,487,199,686
L7R,321,142,463
L7S,161,68,229
L7T,280,135,415
L7X,,1,1
L7Z,,4,4
L8A,1,1,2
L8B,520,181,701
L8E,544,191,735
L8G,182,72,254
L8H,145,58,203
L8J,372,131,503
L8K,154,107,261
L8L,212,80,292
L8M,68,55,123
L8N,110,50,160
L8P,202,142,344
L8R,48,35,83
L8S,116,74,190
L8T,107,64,171
L8V,83,58,141
L8W,206,89,295
L9A,153,89,242
L9B,257,123,380
L9C,330,172,502
L9E,725,116,841
L9G,569,218,787
L9H,539,299,838
L9J,176,35,211
L9K,356,123,479
L9L,181,52,233
L9M,103,61,164
L9N,738,166,904
L9P,293,108,401
L9R,306,101,407
L9S,550,144,694
L9T,2069,549,2618
L9V,218,74,292
L9W,608,215,823
L9X,296,78,374
L9Y,412,171,583
L9Z,207,88,295
M0N,1,,1
M1B,399,231,630
M1C,497,175,672
M1E,315,121,436
M1G,143,60,203
M1H,164,60,224
M1J,130,53,183
M1K,180,82,262
M1L,191,84,275
M1M,200,104,304
M1N,200,113,313
M1P,278,83,361
M1R,202,67,269
M1S,354,110,464
M1T,237,78,315
M1V,364,92,456
M1W,315,118,433
M1X,161,70,231
M2E,1,,1
M2H,253,85,338
M2J,702,210,912
M2K,460,139,599
M2L,363,104,467
M2M,437,126,563
M2N,1146,373,1519
M2P,285,59,344
M2R,286,135,421
M3A,740,106,846
M3B,472,139,611
M3C,358,97,455
M3H,450,139,589
M3J,246,70,316
M3K,80,27,107
M3L,79,32,111
M3M,68,34,102
M3N,114,39,153
M3S,,1,1
M3V,1,,1
M3Y,1,,1
M4A,99,38,137
M4B,169,69,238
M4C,271,160,431
M4E,299,170,469
M4G,445,197,642
M4H,40,28,68
M4J,278,164,442
M4K,294,149,443
M4L,345,156,501
M4M,360,131,491
M4N,449,177,626
M4P,253,99,352
M4R,231,110,341
M4S,387,130,517
M4T,207,83,290
M4V,361,138,499
M4W,399,209,608
M4X,65,38,103
M4Y,195,62,257
M5A,441,152,593
M5B,102,34,136
M5C,308,43,351
M5E,142,32,174
M5G,150,52,202
M5H,397,81,478
M5J,149,58,207
M5K,5,3,8
M5L,1,1,2
M5M,661,238,899
M5N,296,99,395
M5P,370,158,528
M5R,375,131,506
M5S,112,47,159
M5T,88,30,118
M5V,679,137,816
M5W,5,17,22
M5X,6,1,7
M6A,144,51,195
M6B,212,89,301
M6C,333,113,446
M6E,185,87,272
M6G,252,146,398
M6H,223,130,353
M6J,283,89,372
M6K,281,97,378
M6L,79,35,114
M6M,133,68,201
M6N,185,81,266
M6P,301,159,460
M6R,211,116,327
M6S,482,250,732
M6V,1,,1
M6Y,1,,1
M7A,7,2,9
M8A,1,,1
M8B,1,,1
M8V,562,197,759
M8W,290,107,397
M8X,294,122,416
M8Y,326,119,445
M8Z,514,186,700
M9A,483,222,705
M9B,499,175,674
M9C,317,142,459
M9L,121,30,151
M9M,116,29,145
M9N,123,50,173
M9P,160,53,213
M9R,167,64,231
M9V,261,81,342
M9W,1174,322,1496
M9Y,1,1,2
N0A,241,127,368
N0B,1477,584,2061
N0C,151,53,204
N0E,236,115,351
N0G,447,228,675
N0H,571,324,895
N0J,249,107,356
N0K,92,47,139
N0L,489,201,690
N0M,486,243,729
N0N,191,129,320
N0P,243,137,380
N0R,372,195,567
N1A,50,24,74
N1B,1,,1
N1C,62,39,101
N1E,462,237,699
N1G,368,184,552
N1H,425,186,611
N1J,1,,1
N1K,126,64,190
N1L,321,95,416
N1M,194,97,291
N1P,80,26,106
N1R,351,114,465
N1S,269,108,377
N1T,283,96,379
N2A,396,158,554
N2B,201,72,273
N2C,121,63,184
N2E,320,142,462
N2G,181,66,247
N2H,251,129,380
N2J,292,103,395
N2K,550,198,748
N2L,424,152,576
N2M,258,117,375
N2N,253,146,399
N2P,477,180,657
