FSA,BEV,PHEV,Total EV
L5M,1226,323,1549
L5N,732,252,984
L5P,3,8,11
L5R,485,115,600
L5S,67,14,81
L5T,154,28,182
L5V,503,116,619
L5W,349,63,412
L5X,1,,1
L5Y,1,,1
L6A,1251,233,1484
L6B,681,134,815
L6C,1428,248,1676
L6E,607,121,728
L6G,128,43,171
L6H,1433,400,1833
L6J,677,223,900
L6K,335,148,483
L6L,673,178,851
L6M,1415,331,1746
L6N,1,1,2
L6P,1259,185,1444
L6R,731,166,897
L6S,308,121,429
L6T,235,129,364
L6V,192,74,266
L6W,167,49,216
L6X,763,167,930
L6Y,993,234,1227
L6Z,215,79,294
L7A,993,259,1252
L7B,510,81,591
L7C,711,145,856
L7E,403,106,509
L7G,517,187,704
L7H,2,,2
L7J,124,41,165
L7K,140,26,166
L7L,590,254,844
L7M,647,230,877
L7N,179,85,264
L7P,310,120,430
L7R,208,76,284
L7S,93,46,139
L7T,184,95,279
L8A,,1,1
L8B,322,104,426
L8E,374,130,504
L8G,115,43,158
L8H,83,41,124
L8J,236,81,317
L8K,95,75,170
L8L,105,48,153
L8M,46,42,88
L8N,56,32,88
L8P,131,80,211
L8R,37,22,59
L8S,74,49,123
L8T,65,38,103
L8V,45,37,82
L8W,121,56,177
L9A,100,52,152
L9B,161,77,238
L9C,209,115,324
L9E,431,55,486
L9G,360,139,499
L9H,351,203,554
L9J,69,11,80
L9K,246,76,322
L9L,112,37,149
L9M,59,38,97
L9N,455,98,553
L9P,184,72,256
L9R,221,64,285
L9S,342,87,429
L9T,1343,359,1702
L9V,150,50,200
L9W,407,143,550
L9X,187,50,237
L9Y,266,102,368
L9Z,137,59,196
M0N,1,,1
M1B,297,140,437
M1C,357,108,465
M1E,228,83,311
M1G,99,42,141
M1H,125,38,163
M1J,87,36,123
M1K,121,39,160
M1L,125,48,173
M1M,148,66,214
M1N,156,75,231
M1P,198,64,262
M1R,146,49,195
M1S,231,80,311
M1T,141,57,198
M1V,279,61,340
M1W,203,69,272
M1X,138,36,174
M2B,1,,1
M2H,185,59,244
M2J,509,151,660
M2K,292,83,375
M2L,252,64,316
M2M,293,97,390
M2N,786,257,1043
M2P,204,33,237
M2R,173,82,255
M3A,428,62,490
M3B,319,80,399
M3C,226,56,282
M3H,284,86,370
M3J,159,47,206
M3K,68,14,82
M3L,54,16,70
M3M,42,21,63
M3N,69,18,87
M3R,,1,1
M3V,1,,1
M3Y,1,,1
M4A,56,22,78
M4B,107,42,149
M4C,187,97,284
M4E,224,106,330
M4G,335,118,453
M4H,28,16,44
M4J,207,87,294
M4K,199,94,293
M4L,243,112,355
M4M,316,83,399
M4N,338,118,456
M4P,166,60,226
M4R,162,68,230
M4S,285,55,340
M4T,148,48,196
M4V,261,84,345
M4W,252,92,344
M4X,47,13,60
M4Y,156,40,196
M5A,308,92,400
M5B,56,19,75
M5C,128,23,151
M5E,98,24,122
M5G,99,51,150
M5H,218,15,233
M5J,137,48,185
M5K,6,2,8
M5L,3,,3
M5M,436,140,576
M5N,215,68,283
M5P,277,93,370
M5R,289,85,374
M5S,92,40,132
M5T,74,25,99
M5V,542,101,643
M5W,3,13,16
M5X,5,2,7
M6A,99,34,133
M6B,157,49,206
M6C,224,69,293
M6E,132,49,181
M6G,178,90,268
M6H,165,80,245
M6J,206,69,275
M6K,211,62,273
M6L,64,21,85
M6M,93,41,134
M6N,118,56,174
M6P,208,97,305
M6R,152,75,227
M6S,345,172,517
M6Y,1,,1
M6Z,1,,1
M7A,5,,5
M8A,1,1,2
M8B,2,,2
M8V,355,114,469
M8W,211,53,264
M8X,203,69,272
M8Y,219,71,290
M8Z,389,139,528
M9A,361,136,497
M9B,347,100,447
M9C,210,89,299
M9L,69,19,88
M9M,70,15,85
M9N,85,31,116
M9P,96,25,121
M9R,107,40,147
M9V,205,55,260
M9W,1398,83,1481
M9Y,1,1,2
N0A,147,65,212
N0B,928,372,1300
N0C,80,39,119
N0E,146,76,222
N0G,298,150,448
N0H,359,184,543
N0J,156,81,237
N0K,51,46,97
N0L,300,135,435
N0M,292,145,437
N0N,112,87,199
N0P,147,83,230
N0R,285,178,463
N1A,35,17,52
N1C,31,23,54
N1E,277,127,404
N1G,257,104,361
N1H,281,119,400
N1J,1,,1
N1K,80,29,109
N1L,223,75,298
N1M,113,57,170
N1N,1,,1
N1P,42,13,55
N1R,206,70,276
N1S,152,63,215
N1T,161,45,206
N2A,231,100,331
N2B,125,49,174
N2C,95,35,130
N2E,181,73,254
N2G,124,44,168
N2H,162,78,240
N2J,188,67,255
N2K,372,119,491
N2L,280,110,390
N2M,171,69,240
N2N,134,90,224
N2P,280,101,381
N2R,231,63,294
N2S,1,,1
N2T,233,103,336
N2V,258,101,359
N2Z,105,48,153
N3A,164,81,245
N3B,71,44,115
N3C,242,82,324
N3E,46,7,53
N3G,1,,1
N3H,158,51,209
N3K,1,,1
N3L,158,71,229
N3M,2,,2
N3P,29,26,55
N3R,142,67,209
N3S,96,42,138
N3T,289,117,406
N3V,20,3,23
N3W,104,43,147
N3Y,82,33,115
N4B,12,11,23
N4C,1,,1
N4G,103,48,151
N4K,126,78,204
N4L,34,24,58
N4N,37,15,52
N4S,151,67,218
N4T,111,45,156
N4V,25,12,37
N4W,79,34,113
N4X,61,28,89
N4Z,16,13,29
N5A,175,97,272
N5C,78,29,107
N5H,38,16,54
N5K,1,,1
N5L,23,7,30
N5N,2,,2
N5P,73,50,123
N5R,104,59,163
N5V,67,51,118
N5W,68,30,98
N5X,222,112,334
N5Y,63,37,100
N5Z,39,38,77
N6A,77,53,130
N6B,36,23,59
N6C,117,77,194
N6E,42,50,92
N6G,324,168,492
N6H,181,110,291
N6J,75,46,121
N6K,237,143,380
N6L,49,20,69
N6M,42,15,57
N6N,13,2,15
N6P,98,62,160
N6R,1,,1
N6X,1,,1
N7A,60,38,98
N7G,70,35,105
N7L,57,36,93
N7M,92,34,126
N7S,81,47,128
N7T,64,29,93
N7V,27,18,45
N7W,15,11,26
N7X,12,6,18
N8A,20,16,36
N8H,57,51,108
N8M,42,36,78
N8N,132,86,218
N8P,64,44,108
N8R,28,32,60
N8S,40,36,76
N8T,27,20,47
N8W,54,53,107
N8X,60,27,87
N8Y,42,26,68
N9A,52,75,127
N9B,43,22,65
N9C,11,11,22
N9E,76,41,117
N9G,88,59,147
N9H,106,62,168
N9J,128,63,191
N9K,22,6,28
N9T,1,,1
N9V,86,66,152
N9Y,86,38,124
P0A,62,25,87
P0B,66,24,90
P0C,29,9,38
P0E,16,11,27
P0G,9,10,19
P0H,65,64,129
P0J,39,24,63
P0K,9,7,16
P0L,19,26,45
P0M,94,89,183
P0N,4,5,9
P0P,24,39,63
P0R,14,16,30
P0S,13,9,22
P0T,38,38,76
P0V,8,8,16
P0W,4,1,5
P0X,11,12,23
P1A,24,24,48
P1B,75,67,142
P1C,21,9,30
P1H,90,43,133
P1L,105,50,155
P1P,41,23,64
P2A,58,19,77
P2B,16,15,31
P2N,5,3,8
P3A,60,55,115
P3B,39,34,73
P3C,18,24,42
P3E,159,96,255
P3G,42,26,68
P3L,13,19,32
P3N,17,23,40
P3P,101,137,238
P3S,1,,1
P3Y,21,20,41
P4N,23,21,44
P4P,2,8,10
P4R,9,9,18
P5A,2,5,7
P5E,5,5,10
P5N,11,13,24
P6A,56,51,107
P6B,73,30,103
P6C,12,13,25
P7A,54,56,110
P7B,46,55,101
P7C,28,33,61
P7E,22,27,49
P7G,38,35,73
P7J,10,18,28
P7K,13,14,27
P7L,4,3,7
P8A,1,,1
P8N,11,12,23
P8T,6,4,10
P9A,7,10,17
P9N,19,19,38
