FSA,BEV,PHEV,Total EV
K0A,959,398,1357
K0B,102,60,162
K0C,208,129,337
K0E,160,84,244
K0G,262,118,380
K0H,238,146,384
K0J,100,81,181
K0K,492,265,757
K0L,295,153,448
K0M,211,75,286
K0N,1,,1
K1A,46,60,106
K1B,118,55,173
K1C,232,169,401
K1E,69,39,108
K1G,193,132,325
K1H,139,92,231
K1J,209,115,324
K1K,198,125,323
K1L,62,58,120
K1M,96,61,157
K1N,109,80,189
K1P,38,18,56
K1R,101,50,151
K1S,342,240,582
K1T,272,139,411
K1V,353,229,582
K1W,151,69,220
K1X,70,14,84
K1Y,251,128,379
K1Z,179,89,268
K2A,236,115,351
K2B,137,97,234
K2C,177,99,276
K2E,149,75,224
K2G,331,173,504
K2H,200,109,309
K2J,702,317,1019
K2K,250,122,372
K2L,89,69,158
K2M,259,129,388
K2P,107,58,165
K2R,32,13,45
K2S,432,198,630
K2T,164,62,226
K2V,156,64,220
K2W,132,37,169
K3M,,1,1
K4A,470,221,691
K4B,52,28,80
K4C,79,22,101
K4K,151,73,224
K4M,328,114,442
K4P,171,59,230
K4R,64,35,99
K5M,1,,1
K5W,2,,2
K6A,61,30,91
K6G,,1,1
K6H,87,64,151
K6J,36,23,59
K6K,17,7,24
K6T,2,1,3
K6V,93,68,161
K7A,57,32,89
K7C,155,57,212
K7G,42,19,61
K7H,86,63,149
K7K,159,74,233
K7L,191,110,301
K7M,235,139,374
K7N,33,17,50
K7P,161,67,228
K7R,50,28,78
K7S,72,25,97
K7V,39,18,57
K8A,51,41,92
K8B,1,2,3
K8H,60,37,97
K8J,1,,1
K8K,,1,1
K8N,114,74,188
K8P,52,38,90
K8R,9,5,14
K8V,92,64,156
K9A,164,87,251
K9B,1,,1
K9H,101,65,166
K9J,168,103,271
K9K,82,38,120
K9L,42,19,61
K9V,79,39,118
L0A,131,40,171
L0B,112,40,152
L0C,73,23,96
L0E,111,46,157
L0G,464,125,589
L0H,10,9,19
L0J,111,23,134
L0K,243,86,329
L0L,401,135,536
L0M,216,74,290
L0N,26,10,36
L0P,154,35,189
L0R,701,284,985
L0S,523,231,754
L0X,1,,1
L1A,95,42,137
L1B,90,26,116
L1C,339,118,457
L1E,160,66,226
L1G,167,76,243
L1H,148,59,207
L1J,220,80,300
L1K,348,100,448
L1L,175,45,220
L1M,222,80,302
L1N,347,163,510
L1P,322,80,402
L1R,366,95,461
L1S,331,121,452
L1T,462,123,585
L1V,483,131,614
L1W,178,51,229
L1X,331,73,404
L1Y,46,12,58
L1Z,391,130,521
L2A,85,35,120
L2E,63,32,95
L2G,142,63,205
L2H,178,69,247
L2J,72,35,107
L2M,76,49,125
L2N,167,71,238
L2P,63,26,89
L2R,179,151,330
L2S,101,46,147
L2T,63,31,94
L2V,120,38,158
L2W,11,4,15
L2Y,,1,1
L3A,1,,1
L3B,107,41,148
L3C,118,62,180
L3E,1,,1
L3G,,1,1
L3H,2,,2
L3J,100,41,141
L3K,59,37,96
L3L,20,1,21
L3M,330,143,473
L3N,1,,1
L3P,491,150,641
L3R,1120,291,1411
L3S,493,117,610
L3T,685,196,881
L3V,202,123,325
L3X,699,154,853
L3Y,413,184,597
L3Z,474,103,577
L4A,888,225,1113
L4B,974,212,1186
L4C,1075,238,1313
L4E,1117,223,1340
L4G,1140,270,1410
L4H,1204,231,1435
L4J,955,258,1213
L4K,559,122,681
L4L,590,125,715
L4M,294,97,391
L4N,712,224,936
L4P,264,72,336
L4R,76,37,113
L4S,726,182,908
L4T,156,51,207
L4V,52,17,69
L4W,482,156,638
L4X,75,22,97
L4Y,200,51,251
L4Z,295,129,424
L5A,185,55,240
L5B,440,133,573
L5C,271,76,347
L5E,111,38,149
L5G,298,107,405
L5H,382,102,484
L5J,259,97,356
L5K,141,40,181
L5L,418,148,566
