FSA,BEV,PHEV,Total EV
M3N,117,38,155
M3S,,1,1
M3V,1,,1
M3Y,1,,1
M4A,104,38,142
M4B,170,74,244
M4C,288,171,459
M4E,329,194,523
M4G,463,224,687
M4H,41,34,75
M4J,294,174,468
M4K,313,155,468
M4L,367,175,542
M4M,403,138,541
M4N,460,194,654
M4P,277,109,386
M4R,245,125,370
M4S,750,161,911
M4T,217,95,312
M4V,363,154,517
M4W,385,227,612
M4X,65,39,104
M4Y,197,72,269
M5A,459,174,633
M5B,112,37,149
M5C,243,39,282
M5E,149,29,178
M5G,165,51,216
M5H,408,81,489
M5J,173,64,237
M5K,7,2,9
M5L,1,,1
M5M,700,255,955
M5N,309,113,422
M5P,374,172,546
M5R,392,141,533
M5S,118,50,168
M5T,89,33,122
M5V,663,149,812
M5W,9,8,17
M5X,6,2,8
M6A,154,57,211
M6B,234,93,327
M6C,335,115,450
M6E,188,89,277
M6G,263,143,406
M6H,247,138,385
M6J,286,103,389
M6K,299,99,398
M6L,81,39,120
M6M,136,78,214
M6N,197,89,286
M6P,327,189,516
M6R,232,127,359
M6S,509,269,778
M6W,1,,1
M6Y,1,,1
M7A,8,3,11
M8A,1,,1
M8B,1,,1
M8C,,1,1
M8M,1,,1
M8V,586,210,796
M8W,289,117,406
M8X,296,116,412
M8Y,346,124,470
M8Z,578,200,778
M9A,505,238,743
M9B,507,182,689
M9C,330,160,490
M9L,125,35,160
M9M,127,31,158
M9N,129,56,185
M9P,154,60,214
M9R,181,75,256
M9V,257,86,343
M9W,1166,299,1465
M9Y,1,,1
N0A,252,140,392
N0B,1556,650,2206
N0C,155,57,212
N0E,255,132,387
N0G,503,258,761
N0H,623,364,987
N0J,267,113,380
N0K,108,55,163
N0L,526,235,761
N0M,511,265,776
N0N,207,150,357
N0P,265,151,416
N0R,376,212,588
N1A,51,28,79
N1B,1,,1
N1C,68,42,110
N1E,503,266,769
N1G,388,194,582
N1H,465,223,688
N1J,1,,1
N1K,144,79,223
N1L,329,109,438
N1M,217,105,322
N1P,87,29,116
N1R,372,117,489
N1S,300,128,428
N1T,303,108,411
N2A,406,192,598
N2B,193,83,276
N2C,125,62,187
N2E,339,170,509
N2G,192,80,272
N2H,278,144,422
N2J,310,118,428
N2K,608,215,823
N2L,453,178,631
N2M,271,131,402
N2N,271,170,441
N2P,525,201,726
N2R,470,162,632
N2S,1,1,2
N2T,388,198,586
N2V,416,180,596
N2Z,180,79,259
N3A,278,140,418
N3B,157,77,234
N3C,382,155,537
N3E,89,17,106
N3G,1,,1
N3H,254,100,354
N3J,1,,1
N3K,1,,1
N3L,308,132,440
N3M,1,,1
N3P,41,29,70
N3R,234,133,367
N3S,163,83,246
N3T,510,196,706
N3V,38,13,51
N3W,218,77,295
N3Y,149,72,221
N4B,31,20,51
N4C,1,,1
N4G,171,87,258
N4K,182,124,306
N4L,54,31,85
N4M,1,,1
N4N,66,27,93
N4S,268,112,380
N4T,210,87,297
N4V,42,21,63
N4W,129,60,189
N4X,112,43,155
N4Z,26,13,39
N5A,277,173,450
N5C,142,58,200
N5G,,1,1
N5H,65,32,97
N5K,1,,1
N5L,39,17,56
N5M,1,,1
N5N,1,,1
N5P,144,77,221
N5R,193,122,315
N5V,184,105,289
N5W,110,57,167
N5X,419,226,645
N5Y,116,79,195
N5Z,78,76,154
N6A,148,76,224
N6B,59,35,94
N6C,195,153,348
N6E,80,128,208
N6G,608,318,926
N6H,356,210,566
N6J,111,80,191
N6K,445,270,715
N6L,84,46,130
N6M,104,52,156
N6N,19,6,25
N6P,197,108,305
N6R,1,,1
N7A,100,50,150
N7G,196,60,256
N7L,95,72,167
N7M,152,82,234
N7R,1,,1
N7S,130,117,247
N7T,96,75,171
N7V,49,30,79
N7W,16,20,36
N7X,25,13,38
N8A,31,22,53
N8B,,1,1
N8H,112,63,175
N8L,103,58,161
N8M,79,47,126
N8N,233,151,384
N8P,115,79,194
N8R,51,55,106
N8S,80,69,149
N8T,39,36,75
N8V,1,2,3
N8W,100,86,186
N8X,97,41,138
N8Y,75,39,114
N9A,122,93,215
N9B,68,42,110
N9C,17,20,37
N9E,144,94,238
N9G,166,98,264
N9H,183,102,285
N9J,214,113,327
N9K,41,15,56
N9T,,1,1
N9V,193,107,300
N9Y,123,73,196
P0A,104,43,147
P0B,113,47,160
P0C,45,17,62
P0E,23,16,39
P0G,19,11,30
P0H,115,107,222
P0J,58,44,102
P0K,11,16,27
P0L,26,43,69
P0M,174,132,306
P0N,13,10,23
P0P,37,60,97
P0R,33,26,59
P0S,23,17,40
P0T,49,63,112
P0V,12,10,22
P0W,4,4,8
P0X,14,17,31
P1A,48,38,86
P1B,132,117,249
P1C,30,22,52
P1H,151,72,223
P1L,150,77,227
P1P,60,35,95
P2A,91,44,135
P2B,28,24,52
P2N,11,9,20
P3A,109,70,179
P3B,76,64,140
P3C,35,44,79
P3E,256,164,420
P3G,57,32,89
P3L,19,28,47
P3N,34,31,65
P3P,137,258,395
P3Y,38,38,76
P4A,1,,1
P4N,34,51,85
P4P,5,9,14
P4R,16,14,30
P5A,6,14,20
P5E,12,12,24
P5N,17,23,40
P6A,95,89,184
P6B,114,46,160
P6C,26,19,45
P7A,98,95,193
P7B,90,101,191
P7C,39,46,85
P7E,37,47,84
P7G,68,62,130
P7J,28,24,52
P7K,26,32,58
P7L,9,6,15
P7N,,1,1
P8A,1,,1
P8N,19,17,36
P8T,5,13,18
P9A,7,16,23
P9N,29,26,55
