FSA,BEV,PHEV,Total EV
L7R,230,94,324
L7S,114,54,168
L7T,216,111,327
L7X,,1,1
L7Z,,1,1
L8A,1,1,2
L8B,380,122,502
L8E,410,143,553
L8G,140,55,195
L8H,94,45,139
L8J,287,81,368
L8K,107,89,196
L8L,168,60,228
L8M,57,40,97
L8N,76,41,117
L8P,152,98,250
L8R,43,24,67
L8S,85,52,137
L8T,82,46,128
L8V,53,40,93
L8W,137,64,201
L9A,118,62,180
L9B,188,94,282
L9C,257,128,385
L9E,514,66,580
L9G,425,168,593
L9H,402,219,621
L9J,110,23,133
L9K,259,83,342
L9L,135,35,170
L9M,73,46,119
L9N,533,114,647
L9P,220,73,293
L9R,242,73,315
L9S,389,106,495
L9T,1551,412,1963
L9V,171,57,228
L9W,458,156,614
L9X,223,58,281
L9Y,299,128,427
L9Z,159,65,224
M0N,1,,1
M1B,323,165,488
M1C,382,131,513
M1E,265,101,366
M1G,115,49,164
M1H,132,42,174
M1J,103,47,150
M1K,133,54,187
M1L,148,60,208
M1M,161,78,239
M1N,175,79,254
M1P,220,77,297
M1R,165,56,221
M1S,285,83,368
M1T,162,65,227
M1V,316,70,386
M1W,242,83,325
M1X,148,51,199
M2B,1,,1
M2E,1,,1
M2H,199,74,273
M2J,554,161,715
M2K,325,97,422
M2L,269,68,337
M2M,336,106,442
M2N,890,277,1167
M2P,214,37,251
M2R,206,97,303
M3A,539,74,613
M3B,345,97,442
M3C,264,71,335
M3H,326,97,423
M3J,173,57,230
M3K,73,12,85
M3L,60,21,81
M3M,53,23,76
M3N,80,24,104
M3R,,1,1
M3V,1,,1
M3Y,1,,1
M4A,66,31,97
M4B,121,52,173
M4C,210,104,314
M4E,247,111,358
M4G,364,125,489
M4H,32,21,53
M4J,231,106,337
M4K,219,106,325
M4L,270,118,388
M4M,289,99,388
M4N,354,118,472
M4P,179,67,246
M4R,177,74,251
M4S,295,93,388
M4T,166,62,228
M4V,280,90,370
M4W,276,100,376
M4X,52,22,74
M4Y,158,47,205
M5A,343,111,454
M5B,78,21,99
M5C,206,22,228
M5E,113,26,139
M5G,111,50,161
M5H,245,59,304
M5J,135,48,183
M5K,5,1,6
M5L,4,1,5
M5M,500,151,651
M5N,232,69,301
M5P,302,111,413
M5R,317,96,413
M5S,104,37,141
M5T,82,22,104
M5V,589,111,700
M5W,3,13,16
M5X,7,1,8
M6A,110,31,141
M6B,169,61,230
M6C,235,76,311
M6E,148,61,209
M6G,188,102,290
M6H,179,95,274
M6J,233,71,304
M6K,222,74,296
M6L,68,23,91
M6M,105,47,152
M6N,141,59,200
M6P,232,106,338
M6R,168,80,248
M6S,382,185,567
M6Y,1,,1
M6Z,1,,1
M7A,6,1,7
M8A,1,1,2
M8B,2,,2
M8V,394,137,531
M8W,239,63,302
M8X,212,76,288
M8Y,241,83,324
M8Z,427,156,583
M9A,392,148,540
M9B,380,115,495
M9C,252,103,355
M9L,82,23,105
M9M,91,18,109
M9N,86,31,117
M9P,104,34,138
M9R,125,48,173
M9V,233,58,291
M9W,1442,131,1573
M9Y,1,1,2
N0A,162,81,243
N0B,1064,413,1477
N0C,95,39,134
N0E,184,88,272
N0G,326,183,509
N0H,413,209,622
N0J,175,93,268
N0K,70,42,112
N0L,357,151,508
N0M,336,174,510
N0N,131,92,223
N0P,166,100,266
N0R,297,174,471
N1A,39,20,59
N1B,1,,1
N1C,43,23,66
N1E,330,149,479
N1G,272,126,398
N1H,324,130,454
N1J,1,,1
N1K,85,43,128
N1L,252,81,333
N1M,133,67,200
N1N,1,,1
N1P,52,16,68
N1R,239,70,309
N1S,180,70,250
N1T,200,61,261
N2A,273,108,381
N2B,150,49,199
N2C,91,36,127
N2E,215,92,307
N2G,142,53,195
N2H,189,93,282
N2J,202,75,277
N2K,411,133,544
N2L,327,116,443
N2M,199,83,282
N2N,170,101,271
N2P,315,120,435
N2R,285,87,372
N2S,1,,1
N2T,258,124,382
N2V,281,114,395
N2Z,130,57,187
N3A,187,94,281
N3B,86,52,138
N3C,271,96,367
N3E,49,8,57
N3G,1,,1
N3H,177,62,239
N3K,1,,1
N3L,183,79,262
N3M,2,,2
N3P,33,27,60
N3R,171,81,252
N3S,100,60,160
N3T,350,129,479
N3V,21,4,25
N3W,125,53,178
N3Y,96,42,138
N4B,18,16,34
N4C,1,,1
N4G,127,54,181
N4K,134,82,216
N4L,39,23,62
N4N,45,18,63
N4S,172,76,248
N4T,142,53,195
N4V,28,10,38
N4W,99,30,129
N4X,65,32,97
N4Z,20,11,31
N5A,187,111,298
N5C,90,35,125
N5H,45,14,59
N5K,1,,1
N5L,23,8,31
N5N,2,,2
N5P,94,57,151
N5R,116,74,190
N5V,84,64,148
N5W,72,37,109
N5X,258,131,389
N5Y,80,44,124
N5Z,48,51,99
N6A,77,50,127
N6B,41,24,65
N6C,140,91,231
N6E,51,60,111
N6G,398,199,597
N6H,211,132,343
N6J,73,49,122
N6K,274,159,433
N6L,54,35,89
N6M,67,23,90
N6N,14,3,17
N6P,126,72,198
N6R,1,,1
N7A,72,41,113
N7G,85,41,126
N7L,71,44,115
N7M,108,36,144
N7S,90,63,153
N7T,67,38,105
N7V,32,20,52
N7W,14,11,25
N7X,14,5,19
N8A,27,16,43
N8H,76,52,128
N8L,15,11,26
N8M,48,43,91
N8N,154,98,252
N8P,69,52,121
N8R,39,34,73
N8S,48,39,87
N8T,32,22,54
N8V,1,,1
N8W,65,60,125
N8X,61,28,89
N8Y,51,29,80
N9A,63,88,151
N9B,51,28,79
N9C,12,11,23
N9E,95,49,144
N9G,104,66,170
N9H,122,61,183
N9J,143,75,218
N9K,23,9,32
N9L,1,,1
N9T,1,,1
N9V,111,73,184
N9Y,93,46,139
P0A,63,27,90
P0B,70,25,95
P0C,34,8,42
P0E,18,15,33
P0G,13,8,21
P0H,70,83,153
P0J,41,29,70
P0K,7,9,16
P0L,23,26,49
P0M,117,97,214
P0N,5,5,10
P0P,28,43,71
P0R,19,16,35
P0S,21,8,29
P0T,37,48,85
P0V,8,8,16
P0W,3,3,6
P0X,12,12,24
P1A,34,27,61
P1B,79,78,157
P1C,19,10,29
P1H,105,48,153
P1L,131,57,188
P1P,40,23,63
P2A,67,30,97
P2B,17,16,33
P2N,5,5,10
P3A,65,58,123
P3B,53,44,97
P3C,25,29,54
P3E,180,114,294
P3G,37,29,66
P3L,17,17,34
P3N,18,26,44
P3P,107,191,298
P3S,1,,1
P3Y,24,24,48
P4N,31,23,54
P4P,2,9,11
P4R,10,12,22
P5A,2,7,9
P5E,8,7,15
P5N,12,18,30
P6A,75,63,138
P6B,87,34,121
P6C,14,14,28
P7A,69,64,133
P7B,60,67,127
P7C,29,33,62
P7E,25,35,60
P7G,38,37,75
P7J,15,19,34
P7K,16,19,35
P7L,4,2,6
P8A,1,,1
P8N,13,12,25
P8T,5,7,12
P9A,7,10,17
P9N,16,20,36
