FSA,BEV,PHEV,Total EV
K0A,1088,452,1540
K0B,110,71,181
K0C,242,160,402
K0E,193,86,279
K0G,274,127,401
K0H,270,175,445
K0J,110,89,199
K0K,570,320,890
K0L,332,184,516
K0M,253,81,334
K0N,1,,1
K1A,68,60,128
K1B,139,67,206
K1C,257,197,454
K1E,84,49,133
K1G,250,176,426
K1H,151,91,242
K1J,236,121,357
K1K,251,146,397
K1L,77,66,143
K1M,107,58,165
K1N,122,87,209
K1P,44,43,87
K1R,117,64,181
K1S,393,280,673
K1T,337,155,492
K1V,402,257,659
K1W,176,92,268
K1X,89,24,113
K1Y,285,144,429
K1Z,198,100,298
K2A,256,136,392
K2B,155,119,274
K2C,196,113,309
K2E,158,80,238
K2G,364,204,568
K2H,222,133,355
K2J,807,359,1166
K2K,282,140,422
K2L,112,77,189
K2M,289,155,444
K2P,118,67,185
K2R,36,16,52
K2S,501,221,722
K2T,185,73,258
K2V,171,73,244
K2W,140,41,181
K3M,,1,1
K4A,550,256,806
K4B,60,27,87
K4C,90,26,116
K4K,184,86,270
K4M,406,139,545
K4N,1,,1
K4P,185,77,262
K4R,81,39,120
K5M,1,,1
K5W,2,,2
K6A,73,34,107
K6G,,1,1
K6H,111,74,185
K6J,36,31,67
K6K,17,8,25
K6T,1,2,3
K6V,106,74,180
K7A,66,40,106
K7C,178,65,243
K7G,52,21,73
K7H,101,67,168
K7K,167,77,244
K7L,211,121,332
K7M,256,144,400
K7N,35,19,54
K7P,178,77,255
K7R,59,31,90
K7S,79,32,111
K7V,41,23,64
K8A,64,53,117
K8B,1,2,3
K8H,75,42,117
K8J,1,,1
K8K,,1,1
K8N,141,89,230
K8P,54,47,101
K8R,8,7,15
K8V,101,70,171
K9A,189,93,282
K9B,1,,1
K9H,130,72,202
K9J,190,124,314
K9K,94,41,135
K9L,50,24,74
K9V,94,50,144
L0A,144,46,190
L0B,135,43,178
L0C,83,29,112
L0E,130,49,179
L0G,536,144,680
L0H,14,6,20
L0J,114,26,140
L0K,279,100,379
L0L,441,147,588
L0M,241,78,319
L0N,28,10,38
L0P,172,38,210
L0R,785,310,1095
L0S,589,261,850
L0X,1,,1
L1A,105,44,149
L1B,96,27,123
L1C,405,129,534
L1E,190,77,267
L1G,191,88,279
L1H,181,67,248
L1J,304,84,388
L1K,407,111,518
L1L,214,55,269
L1M,267,76,343
L1N,380,216,596
L1P,392,104,496
L1R,438,120,558
L1S,389,143,532
L1T,549,142,691
L1V,539,140,679
L1W,206,61,267
L1X,412,90,502
L1Y,51,12,63
L1Z,461,142,603
L2A,96,42,138
L2E,69,35,104
L2G,153,65,218
L2H,210,84,294
L2J,76,38,114
L2M,95,62,157
L2N,193,89,282
L2P,78,29,107
L2R,182,165,347
L2S,121,48,169
L2T,73,37,110
L2V,148,46,194
L2W,15,5,20
L2Y,,1,1
L3A,1,,1
L3B,126,51,177
L3C,129,70,199
L3E,1,,1
L3G,,1,1
L3H,2,,2
L3J,116,49,165
L3K,65,43,108
L3L,25,4,29
L3M,377,149,526
L3N,1,,1
L3P,566,168,734
L3R,1251,323,1574
L3S,555,122,677
L3T,756,230,986
L3V,214,137,351
L3W,10,5,15
L3X,784,180,964
L3Y,480,218,698
L3Z,536,119,655
L4A,1024,254,1278
L4B,1006,261,1267
L4C,1219,284,1503
L4E,1275,268,1543
L4G,1276,291,1567
L4H,1369,255,1624
L4J,1061,282,1343
L4K,599,127,726
L4L,657,145,802
L4M,353,119,472
L4N,822,257,1079
L4P,287,78,365
L4R,81,38,119
L4S,850,195,1045
L4T,176,53,229
L4V,54,17,71
L4W,596,199,795
L4X,85,28,113
L4Y,244,61,305
L4Z,317,138,455
L5A,194,59,253
L5B,497,134,631
L5C,311,89,400
L5E,132,46,178
L5G,341,112,453
L5H,417,118,535
L5J,284,109,393
L5K,164,46,210
L5L,471,165,636
L5M,1405,359,1764
L5N,829,297,1126
L5P,3,9,12
L5R,431,113,544
L5S,76,18,94
L5T,162,31,193
L5V,540,142,682
L5W,379,77,456
L5X,1,,1
L5Y,1,,1
L6A,1385,259,1644
L6B,733,151,884
L6C,1536,282,1818
L6E,712,134,846
L6G,163,81,244
L6H,1657,455,2112
L6J,740,236,976
L6K,457,168,625
L6L,735,208,943
L6M,1613,370,1983
L6N,1,1,2
L6P,1352,201,1553
L6R,822,202,1024
L6S,341,140,481
L6T,275,139,414
L6V,220,86,306
L6W,192,50,242
L6X,840,186,1026
L6Y,1092,283,1375
L6Z,242,93,335
L7A,1096,292,1388
L7B,533,90,623
L7C,816,178,994
L7E,467,115,582
L7G,556,198,754
L7H,2,,2
L7J,129,46,175
L7K,171,32,203
L7L,677,266,943
L7M,736,244,980
L7N,197,102,299
L7P,359,134,493
