FSA,BEV,PHEV,Total EV
N3T,447,170,617
N3V,26,9,35
N3W,181,68,249
N3Y,136,60,196
N4B,25,18,43
N4C,1,,1
N4G,154,73,227
N4K,171,104,275
N4L,43,27,70
N4N,53,25,78
N4S,228,94,322
N4T,200,71,271
N4V,34,12,46
N4W,117,47,164
N4X,98,41,139
N4Z,23,12,35
N5A,245,145,390
N5C,114,43,157
N5G,,1,1
N5H,65,27,92
N5K,1,,1
N5L,31,12,43
N5M,1,,1
N5N,1,,1
N5P,128,69,197
N5R,171,97,268
N5V,128,96,224
N5W,94,48,142
N5X,365,189,554
N5Y,95,71,166
N5Z,60,60,120
N6A,119,67,186
N6B,51,29,80
N6C,186,124,310
N6E,75,82,157
N6G,528,277,805
N6H,317,173,490
N6J,103,71,174
N6K,386,218,604
N6L,68,34,102
N6M,102,43,145
N6N,17,4,21
N6P,177,93,270
N6R,1,,1
N6X,,1,1
N7A,79,47,126
N7G,177,53,230
N7L,87,58,145
N7M,138,57,195
N7S,121,90,211
N7T,85,59,144
N7V,45,34,79
N7W,19,12,31
N7X,23,10,33
N8A,31,18,49
N8H,100,64,164
N8L,55,44,99
N8M,60,47,107
N8N,207,136,343
N8P,96,67,163
N8R,65,46,111
N8S,63,52,115
N8T,44,27,71
N8V,1,2,3
N8W,88,75,163
N8X,90,28,118
N8Y,68,31,99
N9A,85,88,173
N9B,58,40,98
N9C,15,16,31
N9E,138,78,216
N9G,146,89,235
N9H,163,79,242
N9J,195,101,296
N9K,31,11,42
N9T,,1,1
N9V,151,93,244
N9Y,105,64,169
P0A,85,37,122
P0B,107,36,143
P0C,38,14,52
P0E,27,15,42
P0G,17,14,31
P0H,88,100,188
P0J,50,40,90
P0K,10,10,20
P0L,25,36,61
P0M,161,126,287
P0N,10,9,19
P0P,28,49,77
P0R,31,19,50
P0S,24,14,38
P0T,47,59,106
P0V,12,9,21
P0W,4,3,7
P0X,16,17,33
P1A,44,35,79
P1B,107,92,199
P1C,24,19,43
P1H,146,59,205
P1L,150,70,220
P1P,54,25,79
P2A,79,38,117
P2B,21,20,41
P2N,10,6,16
P3A,80,65,145
P3B,66,47,113
P3C,32,40,72
P3E,233,149,382
P3G,51,35,86
P3L,22,25,47
P3N,28,30,58
P3P,143,231,374
P3S,1,,1
P3Y,38,33,71
P4N,32,42,74
P4P,5,7,12
P4R,12,13,25
P5A,6,10,16
P5E,10,13,23
P5N,18,21,39
P6A,87,75,162
P6B,102,43,145
P6C,21,18,39
P7A,87,81,168
P7B,76,87,163
P7C,37,42,79
P7E,29,41,70
P7G,55,46,101
P7J,23,23,46
P7K,20,28,48
P7L,8,6,14
P7N,,1,1
P8A,1,,1
P8N,17,17,34
P8T,6,12,18
P9A,9,14,23
P9N,22,23,45
