FSA,BEV,PHEV,Total EV
K0A,1430,599,2029
K0B,149,83,232
K0C,310,193,503
K0E,249,128,377
K0G,381,158,539
K0H,346,219,565
K0J,145,108,253
K0K,796,413,1209
K0L,442,249,691
K0M,300,124,424
K0N,1,,1
K1A,84,64,148
K1B,167,89,256
K1C,321,250,571
K1E,110,67,177
K1G,314,210,524
K1H,188,121,309
K1J,285,148,433
K1K,295,201,496
K1L,105,79,184
K1M,138,77,215
K1N,159,114,273
K1P,43,27,70
K1R,140,75,215
K1S,488,336,824
K1T,439,203,642
K1V,480,320,800
K1W,231,117,348
K1X,115,42,157
K1Y,344,177,521
K1Z,241,125,366
K2A,291,164,455
K2B,199,149,348
K2C,254,141,395
K2E,196,107,303
K2G,485,268,753
K2H,291,155,446
K2J,1033,475,1508
K2K,362,197,559
K2L,152,99,251
K2M,380,198,578
K2P,141,78,219
K2R,45,21,66
K2S,656,307,963
K2T,223,101,324
K2V,237,99,336
K2W,189,58,247
K3M,,1,1
K4A,722,350,1072
K4B,79,39,118
K4C,109,33,142
K4K,231,110,341
K4M,520,169,689
K4N,2,,2
K4P,239,98,337
K4R,115,54,169
K5M,1,,1
K5W,2,,2
K6A,100,49,149
K6H,150,94,244
K6J,56,44,100
K6K,20,9,29
K6T,4,2,6
K6V,124,96,220
K7A,97,58,155
K7C,227,89,316
K7G,84,34,118
K7H,135,89,224
K7K,206,106,312
K7L,253,155,408
K7M,330,207,537
K7N,41,28,69
K7P,229,102,331
K7R,66,42,108
K7S,156,53,209
K7V,55,30,85
K8A,79,69,148
K8B,,2,2
K8H,95,62,157
K8J,1,,1
K8K,,1,1
K8N,163,126,289
K8P,74,51,125
K8R,11,8,19
K8V,153,89,242
K9A,253,116,369
K9B,1,,1
K9H,163,96,259
K9J,242,152,394
K9K,116,53,169
K9L,54,29,83
K9V,128,63,191
L0A,185,56,241
L0B,165,60,225
L0C,98,41,139
L0E,182,66,248
L0G,700,199,899
L0H,20,8,28
L0J,139,34,173
L0K,340,140,480
L0L,575,189,764
L0M,279,99,378
L0N,25,10,35
L0P,218,48,266
L0R,975,394,1369
L0S,796,337,1133
L0X,1,,1
L1A,145,57,202
L1B,151,41,192
L1C,554,165,719
L1E,278,100,378
L1G,252,122,374
L1H,228,92,320
L1J,425,113,538
L1K,537,139,676
L1L,321,84,405
L1M,346,117,463
L1N,504,267,771
L1P,538,147,685
L1R,568,190,758
L1S,478,167,645
L1T,706,179,885
L1V,684,204,888
L1W,257,81,338
L1X,556,122,678
L1Y,65,14,79
L1Z,579,183,762
L2A,120,50,170
L2E,93,53,146
L2G,220,95,315
L2H,294,106,400
L2J,93,48,141
L2K,1,,1
L2M,132,87,219
L2N,239,106,345
L2P,104,42,146
L2R,218,179,397
L2S,163,72,235
L2T,101,57,158
L2V,220,72,292
L2W,23,7,30
L2Y,,1,1
L3A,1,,1
L3B,171,73,244
L3C,173,99,272
L3E,1,,1
L3H,3,,3
L3J,175,72,247
L3K,90,53,143
L3L,45,6,51
L3M,482,182,664
L3N,1,,1
L3P,740,217,957
L3R,1563,396,1959
L3S,700,169,869
L3T,1000,295,1295
L3V,305,164,469
L3W,51,15,66
L3X,1062,223,1285
L3Y,595,252,847
L3Z,692,163,855
L4A,1346,343,1689
L4B,1197,333,1530
L4C,1543,408,1951
L4E,1689,352,2041
L4G,1662,399,2061
L4H,1679,319,1998
L4J,1458,372,1830
L4K,758,174,932
L4L,802,177,979
L4M,482,148,630
L4N,1040,314,1354
L4P,394,111,505
L4R,95,47,142
L4S,1157,258,1415
L4T,197,64,261
L4V,54,16,70
L4W,564,293,857
L4X,101,42,143
L4Y,300,77,377
L4Z,396,176,572
L5A,241,90,331
L5B,605,174,779
L5C,401,111,512
L5E,181,58,239
L5G,429,155,584
L5H,541,155,696
L5J,357,133,490
L5K,214,62,276
L5L,584,194,778
L5M,1817,487,2304
L5N,1082,382,1464
L5P,3,17,20
L5R,561,160,721
L5S,69,20,89
L5T,159,35,194
L5V,654,182,836
L5W,435,112,547
L5X,1,,1
L5Y,1,1,2
L6A,1771,349,2120
L6B,946,220,1166
L6C,2030,374,2404
L6E,907,179,1086
L6G,260,129,389
L6H,2165,599,2764
L6J,1103,386,1489
L6K,342,116,458
L6L,921,274,1195
L6M,2080,529,2609
L6N,,1,1
L6P,1648,287,1935
L6R,981,260,1241
L6S,422,180,602
L6T,309,158,467
L6V,275,111,386
L6W,205,63,268
L6X,1007,239,1246
L6Y,1314,348,1662
L6Z,290,122,412
L7A,1359,388,1747
L7B,642,127,769
L7C,994,238,1232
L7E,546,153,699
L7G,719,261,980
L7H,3,,3
L7J,165,57,222
L7K,221,41,262
L7L,869,351,1220
L7M,943,322,1265
L7N,251,128,379
L7P,463,190,653
L7R,315,143,458
L7S,154,60,214
L7T,268,134,402
L7X,,1,1
L7Z,,4,4
L8A,1,1,2
L8B,500,160,660
L8E,531,183,714
L8G,179,66,245
L8H,137,61,198
L8J,352,129,481
L8K,147,102,249
L8L,203,75,278
L8M,59,57,116
L8N,107,49,156
L8P,188,133,321
L8R,50,29,79
L8S,107,72,179
L8T,102,58,160
L8V,78,59,137
L8W,186,85,271
L9A,150,76,226
L9B,237,115,352
L9C,320,164,484
L9E,660,104,764
L9G,543,213,756
L9H,516,288,804
L9J,174,32,206
L9K,336,114,450
L9L,178,48,226
L9M,95,54,149
L9N,697,153,850
L9P,281,103,384
L9R,305,92,397
L9S,525,136,661
L9T,1961,519,2480
L9V,212,77,289
L9W,566,209,775
L9X,287,77,364
L9Y,382,165,547
L9Z,202,82,284
M0N,1,,1
M1B,393,209,602
M1C,469,165,634
M1E,306,113,419
M1G,133,61,194
M1H,161,59,220
M1J,130,51,181
M1K,170,74,244
M1L,180,80,260
M1M,192,93,285
M1N,196,107,303
M1P,248,79,327
M1R,204,70,274
M1S,325,107,432
M1T,233,75,308
M1V,353,84,437
M1W,308,106,414
M1X,161,63,224
M2B,1,,1
M2E,1,,1
M2H,244,89,333
M2J,655,202,857
M2K,445,130,575
M2L,344,91,435
M2M,411,123,534
M2N,1103,365,1468
M2P,279,57,336
M2R,260,128,388
M3A,596,101,697
M3B,441,128,569
M3C,331,93,424
M3H,428,135,563
M3J,245,72,317
M3K,76,25,101
M3L,70,30,100
M3M,70,29,99
M3N,99,36,135
M3R,,1,1
M3S,,1,1
M3V,1,,1
M3Y,1,,1
M4A,96,38,134
M4B,156,62,218
M4C,265,145,410
M4E,294,159,453
M4G,433,184,617
M4H,38,27,65
M4J,282,149,431
M4K,292,137,429
M4L,336,151,487
M4M,345,128,473
M4N,437,163,600
M4P,232,89,321
M4R,226,101,327
M4S,369,122,491
M4T,202,84,286
M4V,342,127,469
M4W,389,173,562
M4X,65,37,102
M4Y,200,62,262
M5A,412,131,543
M5B,92,29,121
M5C,306,43,349
M5E,135,30,165
M5G,138,55,193
M5H,393,78,471
M5J,141,50,191
M5K,5,2,7
M5L,2,1,3
M5M,640,216,856
M5N,288,94,382
M5P,369,154,523
M5R,367,123,490
M5S,109,45,154
M5T,80,25,105
M5V,683,130,813
M5W,5,11,16
M5X,5,1,6
M6A,141,44,185
M6B,201,88,289
M6C,320,107,427
M6E,188,79,267
M6G,245,138,383
M6H,213,122,335
M6J,272,84,356
M6K,270,82,352
M6L,76,35,111
M6M,128,67,195
M6N,170,79,249
M6P,286,150,436
M6R,197,108,305
M6S,478,237,715
M6V,1,,1
M6Y,1,,1
M7A,7,1,8
M8A,1,,1
M8B,1,,1
M8V,536,178,714
M8W,285,102,387
M8X,271,116,387
M8Y,302,107,409
M8Z,502,180,682
M9A,470,201,671
M9B,480,164,644
M9C,296,135,431
M9L,115,26,141
M9M,111,27,138
M9N,114,43,157
M9P,151,49,200
M9R,156,66,222
M9V,255,75,330
M9W,1187,145,1332
M9Y,2,1,3
N0A,230,115,345
N0B,1419,549,1968
N0C,143,51,194
N0E,223,110,333
N0G,429,214,643
N0H,542,317,859
N0J,244,106,350
N0K,86,48,134
N0L,472,197,669
N0M,453,233,686
N0N,179,126,305
N0P,221,136,357
N0R,354,188,542
N1A,49,24,73
N1B,1,,1
N1C,63,33,96
N1E,445,223,668
N1G,349,170,519
N1H,418,175,593
N1J,1,,1
N1K,111,59,170
N1L,313,95,408
N1M,185,89,274
N1N,1,,1
N1P,78,23,101
N1R,320,103,423
N1S,252,96,348
N1T,273,95,368
N2A,374,148,522
N2B,189,68,257
N2C,115,58,173
N2E,297,130,427
N2G,167,67,234
N2H,240,129,369
N2J,267,104,371
N2K,522,181,703
N2L,399,158,557
N2M,259,109,368
N2N,234,134,368
N2P,465,163,628
N2R,398,130,528
N2S,1,1,2
N2T,345,167,512
N2V,378,153,531
N2Z,165,68,233
N3A,247,121,368
N3B,130,68,198
N3C,340,124,464
N3E,65,12,77
N3G,1,,1
N3H,224,90,314
N3J,1,,1
N3K,1,,1
N3L,258,111,369
N3M,2,,2
N3P,40,34,74
N3R,214,105,319
N3S,141,72,213
